Tiempo UTC-4,Registros validados
01-01-2018,25
02-01-2018,33
03-01-2018,43
04-01-2018,49
05-01-2018,41
06-01-2018,42
07-01-2018,17
08-01-2018,20
09-01-2018,38
10-01-2018,28
11-01-2018,22
12-01-2018,20
13-01-2018,23
14-01-2018,15
15-01-2018,21
16-01-2018,38
17-01-2018,43
18-01-2018,51
19-01-2018,31
20-01-2018,25
21-01-2018,23
22-01-2018,33
23-01-2018,39
24-01-2018,53
25-01-2018,40
26-01-2018,52
27-01-2018,55
28-01-2018,58
29-01-2018,41
30-01-2018,34
31-01-2018,41
01-02-2018,42
02-02-2018,32
03-02-2018,29
04-02-2018,29
05-02-2018,30
06-02-2018,33
07-02-2018,32
08-02-2018,34
09-02-2018,47
10-02-2018,55
11-02-2018,63
12-02-2018,61
13-02-2018,38
14-02-2018,39
15-02-2018,43
16-02-2018,40
17-02-2018,31
18-02-2018,28
19-02-2018,29
20-02-2018,34
21-02-2018,38
22-02-2018,36
23-02-2018,44
24-02-2018,33
25-02-2018,34
26-02-2018,30
27-02-2018,26
28-02-2018,36
01-03-2018,43
02-03-2018,45
03-03-2018,47
04-03-2018,39
05-03-2018,55
06-03-2018,37
07-03-2018,34
08-03-2018,39
09-03-2018,46
10-03-2018,47
11-03-2018,51
12-03-2018,60
13-03-2018,61
14-03-2018,53
15-03-2018,52
16-03-2018,52
17-03-2018,41
18-03-2018,34
19-03-2018,42
20-03-2018,53
21-03-2018,68
22-03-2018,56
23-03-2018,52
24-03-2018,44
25-03-2018,56
26-03-2018,63
27-03-2018,32
28-03-2018,23
29-03-2018,24
30-03-2018,31
31-03-2018,44
01-04-2018,41
02-04-2018,59
03-04-2018,42
04-04-2018,59
05-04-2018,61
06-04-2018,44
07-04-2018,34
08-04-2018,3
09-04-2018,8
10-04-2018,34
11-04-2018,26
12-04-2018,41
13-04-2018,50
14-04-2018,61
15-04-2018,48
16-04-2018,47
17-04-2018,47
18-04-2018,61
19-04-2018,71
20-04-2018,82
21-04-2018,74
22-04-2018,47
23-04-2018,42
24-04-2018,34
25-04-2018,20
26-04-2018,46
27-04-2018,57
28-04-2018,49
29-04-2018,29
30-04-2018,25
01-05-2018,47
02-05-2018,48
03-05-2018,46
04-05-2018,25
05-05-2018,33
06-05-2018,43
07-05-2018,49
08-05-2018,41
09-05-2018,42
10-05-2018,17
11-05-2018,20
12-05-2018,38
13-05-2018,28
14-05-2018,23
15-05-2018,34
16-05-2018,21
17-05-2018,21
18-05-2018,48
19-05-2018,25
20-05-2018,33
21-05-2018,43
22-05-2018,49
23-05-2018,41
24-05-2018,42
25-05-2018,17
26-05-2018,20
27-05-2018,38
28-05-2018,28
29-05-2018,23
30-05-2018,45
31-05-2018,12
01-06-2018,25
02-06-2018,33
03-06-2018,43
04-06-2018,35
05-06-2018,30
06-06-2018,17
07-06-2018,35
08-06-2018,44
09-06-2018,30
10-06-2018,6
11-06-2018,2
12-06-2018,8
13-06-2018,17
14-06-2018,18
15-06-2018,17
16-06-2018,28
17-06-2018,28
18-06-2018,27
19-06-2018,24
20-06-2018,21
21-06-2018,43
22-06-2018,49
23-06-2018,21
24-06-2018,18
25-06-2018,20
26-06-2018,26
27-06-2018,23
28-06-2018,23
29-06-2018,26
30-06-2018,17
01-07-2018,11
02-07-2018,18
03-07-2018,11
04-07-2018,10
05-07-2018,5
06-07-2018,8
07-07-2018,17
08-07-2018,22
09-07-2018,33
10-07-2018,26
11-07-2018,26
12-07-2018,29
13-07-2018,24
14-07-2018,19
15-07-2018,29
16-07-2018,26
17-07-2018,57
18-07-2018,11
19-07-2018,17
20-07-2018,16
21-07-2018,20
22-07-2018,35
23-07-2018,32
24-07-2018,43
25-07-2018,32
26-07-2018,27
27-07-2018,14
28-07-2018,12
29-07-2018,21
30-07-2018,28
31-07-2018,30
01-08-2018,24
02-08-2018,27
03-08-2018,24
04-08-2018,26
05-08-2018,33
06-08-2018,27
07-08-2018,19
08-08-2018,26
09-08-2018,36
10-08-2018,36
11-08-2018,35
12-08-2018,41
13-08-2018,26
14-08-2018,38
15-08-2018,35
16-08-2018,39
17-08-2018,37
18-08-2018,38
19-08-2018,31
20-08-2018,45
21-08-2018,40
22-08-2018,35
23-08-2018,31
24-08-2018,23
25-08-2018,42
26-08-2018,37
27-08-2018,42
28-08-2018,35
29-08-2018,31
30-08-2018,32
31-08-2018,23
01-09-2018,45
02-09-2018,65
03-09-2018,48
04-09-2018,23
05-09-2018,20
06-09-2018,45
07-09-2018,55
08-09-2018,48
09-09-2018,41
10-09-2018,45
11-09-2018,54
12-09-2018,45
13-09-2018,31
14-09-2018,20
15-09-2018,14
16-09-2018,30
17-09-2018,33
18-09-2018,26
19-09-2018,25
20-09-2018,31
21-09-2018,44
22-09-2018,37
23-09-2018,33
24-09-2018,42
25-09-2018,57
26-09-2018,51
27-09-2018,41
28-09-2018,40
29-09-2018,24
30-09-2018,25
01-10-2018,32
02-10-2018,43
03-10-2018,52
04-10-2018,57
05-10-2018,54
06-10-2018,50
07-10-2018,40
08-10-2018,28
09-10-2018,38
10-10-2018,35
11-10-2018,27
12-10-2018,33
13-10-2018,30
14-10-2018,33
15-10-2018,39
16-10-2018,35
17-10-2018,27
18-10-2018,31
19-10-2018,41
20-10-2018,41
21-10-2018,55
22-10-2018,49
23-10-2018,44
24-10-2018,48
25-10-2018,43
26-10-2018,51
27-10-2018,56
28-10-2018,37
29-10-2018,38
30-10-2018,25
31-10-2018,29
01-11-2018,33
02-11-2018,31
03-11-2018,34
04-11-2018,37
05-11-2018,42
06-11-2018,55
07-11-2018,56
08-11-2018,57
09-11-2018,60
10-11-2018,21
11-11-2018,24
12-11-2018,17
13-11-2018,22
14-11-2018,42
15-11-2018,53
16-11-2018,45
17-11-2018,27
18-11-2018,34
19-11-2018,76
20-11-2018,49
21-11-2018,37
22-11-2018,36
23-11-2018,36
24-11-2018,45
25-11-2018,50
26-11-2018,50
27-11-2018,36
28-11-2018,36
29-11-2018,45
30-11-2018,50
01-12-2018,50
02-12-2018,24
03-12-2018,20
04-12-2018,16
05-12-2018,22
06-12-2018,33
07-12-2018,34
08-12-2018,35
09-12-2018,47
10-12-2018,48
11-12-2018,44
12-12-2018,51
13-12-2018,38
14-12-2018,43
15-12-2018,56
16-12-2018,54
17-12-2018,44
18-12-2018,33
19-12-2018,49
20-12-2018,44
21-12-2018,42
22-12-2018,33
23-12-2018,39
24-12-2018,46
25-12-2018,40
26-12-2018,31
