Tiempo UTC-4,Registros validados
01-01-2018,23
02-01-2018,38
03-01-2018,41
04-01-2018,47
05-01-2018,43
06-01-2018,45
07-01-2018,14
08-01-2018,27
09-01-2018,32
10-01-2018,25
11-01-2018,18
12-01-2018,17
13-01-2018,19
14-01-2018,13
15-01-2018,22
16-01-2018,37
17-01-2018,43
18-01-2018,45
19-01-2018,27
20-01-2018,27
21-01-2018,27
22-01-2018,38
23-01-2018,41
24-01-2018,49
25-01-2018,47
26-01-2018,48
27-01-2018,59
28-01-2018,59
29-01-2018,40
30-01-2018,32
31-01-2018,43
01-02-2018,45
02-02-2018,38
03-02-2018,33
04-02-2018,28
05-02-2018,30
06-02-2018,47
07-02-2018,36
08-02-2018,39
09-02-2018,50
10-02-2018,58
11-02-2018,52
12-02-2018,67
13-02-2018,34
14-02-2018,39
15-02-2018,44
16-02-2018,38
17-02-2018,31
18-02-2018,24
19-02-2018,28
20-02-2018,35
21-02-2018,39
22-02-2018,40
23-02-2018,55
24-02-2018,32
25-02-2018,34
26-02-2018,44
27-02-2018,25
28-02-2018,35
01-03-2018,47
02-03-2018,48
03-03-2018,43
04-03-2018,37
05-03-2018,46
06-03-2018,35
07-03-2018,44
08-03-2018,31
09-03-2018,49
10-03-2018,44
11-03-2018,49
12-03-2018,63
13-03-2018,56
14-03-2018,54
15-03-2018,62
16-03-2018,52
17-03-2018,43
18-03-2018,31
19-03-2018,45
20-03-2018,50
21-03-2018,57
22-03-2018,45
23-03-2018,46
24-03-2018,46
25-03-2018,62
26-03-2018,72
27-03-2018,54
28-03-2018,23
29-03-2018,45
30-03-2018,12
31-03-2018,42
01-04-2018,43
02-04-2018,48
03-04-2018,39
04-04-2018,49
05-04-2018,50
06-04-2018,29
07-04-2018,36
08-04-2018,44
09-04-2018,26
10-04-2018,31
11-04-2018,24
12-04-2018,42
13-04-2018,49
14-04-2018,52
15-04-2018,44
16-04-2018,46
17-04-2018,59
18-04-2018,55
19-04-2018,59
20-04-2018,71
21-04-2018,67
22-04-2018,58
23-04-2018,63
24-04-2018,62
25-04-2018,63
26-04-2018,47
27-04-2018,73
28-04-2018,64
29-04-2018,39
30-04-2018,43
01-05-2018,58
02-05-2018,54
03-05-2018,56
04-05-2018,64
05-05-2018,39
06-05-2018,43
07-05-2018,58
08-05-2018,54
09-05-2018,56
10-05-2018,23
11-05-2018,43
12-05-2018,63
13-05-2018,29
14-05-2018,45
15-05-2018,63
16-05-2018,59
17-05-2018,52
18-05-2018,56
19-05-2018,78
20-05-2018,57
21-05-2018,44
22-05-2018,65
23-05-2018,69
24-05-2018,72
25-05-2018,69
26-05-2018,72
27-05-2018,58
28-05-2018,59
29-05-2018,50
30-05-2018,43
31-05-2018,37
01-06-2018,39
02-06-2018,62
03-06-2018,60
04-06-2018,74
05-06-2018,59
06-06-2018,65
07-06-2018,53
08-06-2018,78
09-06-2018,47
10-06-2018,3
11-06-2018,11
12-06-2018,36
13-06-2018,44
14-06-2018,42
15-06-2018,56
16-06-2018,58
17-06-2018,52
18-06-2018,53
19-06-2018,49
20-06-2018,50
21-06-2018,57
22-06-2018,43
23-06-2018,24
24-06-2018,25
25-06-2018,35
26-06-2018,45
27-06-2018,47
28-06-2018,23
29-06-2018,49
30-06-2018,17
01-07-2018,14
02-07-2018,19
03-07-2018,10
04-07-2018,9
05-07-2018,4
06-07-2018,11
07-07-2018,28
08-07-2018,32
09-07-2018,39
10-07-2018,31
11-07-2018,41
12-07-2018,43
13-07-2018,48
14-07-2018,32
15-07-2018,31
16-07-2018,34
17-07-2018,16
18-07-2018,10
19-07-2018,18
20-07-2018,29
21-07-2018,31
22-07-2018,37
23-07-2018,39
24-07-2018,48
25-07-2018,41
26-07-2018,39
27-07-2018,9
28-07-2018,28
29-07-2018,29
30-07-2018,37
31-07-2018,51
01-08-2018,44
02-08-2018,27
03-08-2018,28
04-08-2018,50
05-08-2018,44
06-08-2018,36
07-08-2018,17
08-08-2018,45
09-08-2018,48
10-08-2018,49
11-08-2018,46
12-08-2018,33
13-08-2018,21
14-08-2018,45
15-08-2018,42
16-08-2018,44
17-08-2018,42
18-08-2018,35
19-08-2018,35
20-08-2018,49
21-08-2018,55
22-08-2018,50
23-08-2018,33
24-08-2018,25
25-08-2018,52
26-08-2018,48
27-08-2018,46
28-08-2018,44
29-08-2018,43
30-08-2018,27
31-08-2018,23
01-09-2018,34
02-09-2018,36
03-09-2018,21
04-09-2018,44
05-09-2018,30
06-09-2018,40
07-09-2018,44
08-09-2018,43
09-09-2018,37
10-09-2018,52
11-09-2018,48
12-09-2018,39
13-09-2018,24
14-09-2018,15
15-09-2018,12
16-09-2018,25
17-09-2018,30
18-09-2018,19
19-09-2018,20
20-09-2018,29
21-09-2018,42
22-09-2018,31
23-09-2018,24
24-09-2018,48
25-09-2018,40
26-09-2018,29
27-09-2018,26
28-09-2018,25
29-09-2018,16
30-09-2018,18
01-10-2018,29
02-10-2018,34
03-10-2018,51
04-10-2018,40
05-10-2018,41
06-10-2018,37
07-10-2018,49
08-10-2018,27
09-10-2018,30
10-10-2018,26
11-10-2018,16
12-10-2018,17
13-10-2018,16
14-10-2018,19
15-10-2018,23
16-10-2018,18
17-10-2018,15
18-10-2018,18
19-10-2018,24
20-10-2018,22
21-10-2018,24
22-10-2018,25
23-10-2018,23
24-10-2018,21
25-10-2018,27
26-10-2018,23
27-10-2018,24
28-10-2018,20
29-10-2018,25
30-10-2018,13
31-10-2018,17
01-11-2018,22
02-11-2018,17
03-11-2018,19
04-11-2018,18
05-11-2018,27
06-11-2018,28
07-11-2018,27
08-11-2018,26
09-11-2018,25
10-11-2018,23
11-11-2018,11
12-11-2018,10
13-11-2018,10
14-11-2018,19
15-11-2018,28
16-11-2018,20
17-11-2018,13
18-11-2018,20
19-11-2018,25
20-11-2018,22
21-11-2018,19
22-11-2018,21
23-11-2018,20
24-11-2018,22
25-11-2018,22
26-11-2018,26
27-11-2018,23
28-11-2018,54
29-11-2018,23
30-11-2018,12
01-12-2018,23
02-12-2018,13
03-12-2018,12
04-12-2018,10
05-12-2018,50
06-12-2018,51
07-12-2018,87
08-12-2018,71
09-12-2018,72
10-12-2018,18
11-12-2018,19
12-12-2018,41
13-12-2018,48
14-12-2018,25
15-12-2018,2
16-12-2018,3
17-12-2018,7
18-12-2018,19
19-12-2018,20
20-12-2018,7
21-12-2018,9
22-12-2018,10
23-12-2018,23
24-12-2018,43
25-12-2018,40
26-12-2018,37
27-12-2018,19
28-12-2018,16
29-12-2018,13
30-12-2018,24
31-12-2018,31
01-01-2019,29
02-01-2019,28
03-01-2019,37
04-01-2019,58
05-01-2019,64
06-01-2019,43
07-01-2019,31
08-01-2019,40
09-01-2019,55
10-01-2019,57
11-01-2019,28
12-01-2019,33
13-01-2019,57
14-01-2019,58
15-01-2019,37
16-01-2019,45
17-01-2019,33
18-01-2019,17
19-01-2019,16
20-01-2019,9
21-01-2019,5
22-01-2019,32
