Tiempo UTC-4,Registros validados
01-01-2018,17
02-01-2018,34
03-01-2018,52
04-01-2018,17
05-01-2018,34
06-01-2018,52
07-01-2018,12
08-01-2018,34
09-01-2018,32
10-01-2018,54
11-01-2018,21
12-01-2018,21
13-01-2018,32
14-01-2018,43
15-01-2018,12
16-01-2018,24
17-01-2018,17
18-01-2018,34
19-01-2018,52
20-01-2018,17
21-01-2018,34
22-01-2018,52
23-01-2018,12
24-01-2018,34
25-01-2018,32
26-01-2018,54
27-01-2018,21
28-01-2018,21
29-01-2018,32
30-01-2018,43
31-01-2018,12
01-02-2018,24
02-02-2018,17
03-02-2018,34
04-02-2018,52
05-02-2018,17
06-02-2018,34
07-02-2018,52
08-02-2018,12
09-02-2018,34
10-02-2018,32
11-02-2018,54
12-02-2018,21
13-02-2018,21
14-02-2018,32
15-02-2018,43
16-02-2018,12
17-02-2018,24
18-02-2018,17
19-02-2018,34
20-02-2018,52
21-02-2018,17
22-02-2018,34
23-02-2018,52
24-02-2018,12
25-02-2018,34
26-02-2018,32
27-02-2018,54
28-02-2018,21
01-03-2018,21
02-03-2018,32
03-03-2018,43
04-03-2018,12
05-03-2018,24
06-03-2018,17
07-03-2018,34
08-03-2018,52
09-03-2018,12
10-03-2018,34
11-03-2018,32
12-03-2018,54
13-03-2018,21
14-03-2018,21
15-03-2018,32
16-03-2018,43
17-03-2018,12
18-03-2018,24
19-03-2018,17
20-03-2018,34
21-03-2018,17
22-03-2018,12
23-03-2018,16
24-03-2018,28
25-03-2018,17
26-03-2018,21
27-03-2018,18
28-03-2018,28
29-03-2018,20
30-03-2018,21
31-03-2018,24
01-04-2018,20
02-04-2018,18
03-04-2018,12
04-04-2018,16
05-04-2018,25
06-04-2018,21
07-04-2018,17
08-04-2018,17
09-04-2018,24
10-04-2018,17
11-04-2018,10
12-04-2018,16
13-04-2018,32
14-04-2018,35
15-04-2018,22
16-04-2018,19
17-04-2018,25
18-04-2018,19
19-04-2018,18
20-04-2018,18
21-04-2018,27
22-04-2018,31
23-04-2018,27
24-04-2018,19
25-04-2018,11
26-04-2018,11
27-04-2018,14
28-04-2018,6
29-04-2018,6
30-04-2018,7
01-05-2018,14
02-05-2018,10
03-05-2018,10
04-05-2018,13
05-05-2018,14
06-05-2018,20
07-05-2018,21
08-05-2018,16
09-05-2018,8
10-05-2018,11
11-05-2018,17
12-05-2018,18
13-05-2018,17
14-05-2018,20
15-05-2018,20
16-05-2018,13
17-05-2018,13
18-05-2018,6
19-05-2018,13
20-05-2018,12
21-05-2018,17
22-05-2018,17
23-05-2018,18
24-05-2018,15
25-05-2018,20
26-05-2018,16
27-05-2018,11
28-05-2018,11
29-05-2018,15
30-05-2018,16
31-05-2018,14
01-06-2018,35
02-06-2018,28
03-06-2018,23
04-06-2018,24
05-06-2018,18
06-06-2018,22
07-06-2018,18
08-06-2018,16
09-06-2018,6
10-06-2018,12
11-06-2018,11
12-06-2018,12
13-06-2018,12
14-06-2018,14
15-06-2018,18
16-06-2018,24
17-06-2018,21
18-06-2018,29
19-06-2018,22
20-06-2018,10
21-06-2018,32
22-06-2018,10
23-06-2018,8
24-06-2018,13
25-06-2018,14
26-06-2018,15
27-06-2018,12
28-06-2018,13
29-06-2018,24
30-06-2018,26
01-07-2018,24
02-07-2018,22
03-07-2018,17
04-07-2018,19
05-07-2018,24
06-07-2018,26
07-07-2018,25
08-07-2018,27
09-07-2018,21
10-07-2018,17
11-07-2018,16
12-07-2018,17
13-07-2018,14
14-07-2018,21
15-07-2018,9
16-07-2018,16
17-07-2018,18
18-07-2018,17
19-07-2018,14
20-07-2018,17
21-07-2018,18
22-07-2018,16
23-07-2018,16
24-07-2018,15
25-07-2018,20
26-07-2018,21
27-07-2018,22
28-07-2018,20
29-07-2018,22
30-07-2018,21
31-07-2018,24
01-08-2018,22
02-08-2018,18
03-08-2018,19
04-08-2018,21
05-08-2018,21
06-08-2018,22
07-08-2018,24
08-08-2018,25
09-08-2018,23
10-08-2018,26
11-08-2018,28
12-08-2018,31
13-08-2018,41
14-08-2018,45
15-08-2018,34
16-08-2018,18
17-08-2018,16
18-08-2018,18
19-08-2018,14
20-08-2018,17
21-08-2018,18
22-08-2018,17
23-08-2018,19
24-08-2018,15
25-08-2018,16
26-08-2018,23
27-08-2018,12
28-08-2018,26
29-08-2018,30
30-08-2018,26
31-08-2018,25
01-09-2018,26
02-09-2018,33
03-09-2018,27
04-09-2018,28
05-09-2018,18
06-09-2018,16
07-09-2018,28
08-09-2018,27
09-09-2018,23
10-09-2018,24
11-09-2018,29
12-09-2018,29
13-09-2018,27
14-09-2018,32
15-09-2018,24
16-09-2018,22
17-09-2018,23
18-09-2018,23
19-09-2018,24
20-09-2018,24
21-09-2018,20
22-09-2018,21
23-09-2018,17
24-09-2018,22
25-09-2018,32
26-09-2018,26
27-09-2018,25
28-09-2018,23
29-09-2018,24
30-09-2018,20
01-10-2018,21
02-10-2018,19
03-10-2018,21
04-10-2018,24
05-10-2018,28
06-10-2018,28
07-10-2018,23
08-10-2018,24
09-10-2018,22
10-10-2018,22
11-10-2018,19
12-10-2018,19
13-10-2018,23
14-10-2018,35
15-10-2018,37
16-10-2018,32
17-10-2018,21
18-10-2018,20
19-10-2018,27
20-10-2018,22
21-10-2018,22
22-10-2018,24
23-10-2018,23
24-10-2018,23
25-10-2018,20
26-10-2018,26
27-10-2018,30
28-10-2018,28
29-10-2018,34
30-10-2018,33
31-10-2018,36
01-11-2018,34
02-11-2018,35
03-11-2018,28
04-11-2018,27
05-11-2018,24
06-11-2018,18
07-11-2018,24
08-11-2018,13
09-11-2018,20
10-11-2018,26
11-11-2018,28
12-11-2018,21
13-11-2018,18
14-11-2018,21
15-11-2018,22
16-11-2018,28
17-11-2018,26
18-11-2018,19
19-11-2018,30
20-11-2018,30
21-11-2018,21
22-11-2018,21
23-11-2018,22
24-11-2018,27
25-11-2018,29
26-11-2018,37
27-11-2018,32
28-11-2018,22
29-11-2018,17
30-11-2018,18
01-12-2018,27
02-12-2018,23
03-12-2018,15
04-12-2018,21
05-12-2018,22
06-12-2018,20
07-12-2018,26
08-12-2018,33
09-12-2018,21
10-12-2018,24
11-12-2018,20
12-12-2018,17
13-12-2018,12
14-12-2018,16
15-12-2018,28
16-12-2018,17
17-12-2018,21
18-12-2018,18
19-12-2018,28
20-12-2018,20
21-12-2018,21
22-12-2018,24
23-12-2018,20
24-12-2018,18
25-12-2018,12
26-12-2018,16
27-12-2018,25
28-12-2018,21
29-12-2018,17
30-12-2018,17
31-12-2018,24
01-01-2019,17
02-01-2019,10
03-01-2019,16
04-01-2019,32
05-01-2019,35
06-01-2019,22
07-01-2019,19
08-01-2019,25
09-01-2019,19
10-01-2019,18
11-01-2019,18
12-01-2019,27
13-01-2019,31
14-01-2019,27
15-01-2019,19
16-01-2019,11
17-01-2019,11
18-01-2019,14
19-01-2019,6
20-01-2019,6
21-01-2019,7
22-01-2019,14
23-01-2019,10
24-01-2019,10
25-01-2019,13
26-01-2019,14
27-01-2019,20
28-01-2019,21
29-01-2019,16
30-01-2019,8
31-01-2019,11
01-02-2019,17
02-02-2019,18
03-02-2019,17
04-02-2019,20
05-02-2019,20
06-02-2019,13
07-02-2019,13
08-02-2019,6
09-02-2019,13
10-02-2019,12
11-02-2019,17
12-02-2019,17
13-02-2019,18
14-02-2019,15
15-02-2019,20
16-02-2019,16
17-02-2019,11
18-02-2019,11
19-02-2019,15
20-02-2019,16
21-02-2019,14
22-02-2019,35
23-02-2019,28
24-02-2019,23
25-02-2019,24
26-02-2019,18
27-02-2019,22
28-02-2019,18
01-03-2019,16
02-03-2019,6
03-03-2019,12
04-03-2019,11
05-03-2019,12
06-03-2019,12
07-03-2019,14
08-03-2019,18
09-03-2019,24
10-03-2019,21
11-03-2019,29
12-03-2019,22
13-03-2019,10
14-03-2019,32
15-03-2019,10
16-03-2019,8
17-03-2019,13
18-03-2019,14
19-03-2019,15
20-03-2019,12
21-03-2019,13
22-03-2019,24
23-03-2019,26
24-03-2019,24
25-03-2019,22
26-03-2019,17
27-03-2019,19
28-03-2019,24
29-03-2019,26
30-03-2019,25
31-03-2019,27
01-04-2019,21
02-04-2019,17
03-04-2019,16
04-04-2019,17
05-04-2019,14
06-04-2019,21
07-04-2019,9
08-04-2019,16
09-04-2019,18
10-04-2019,17
11-04-2019,14
12-04-2019,17
13-04-2019,18
14-04-2019,16
15-04-2019,16
16-04-2019,15
17-04-2019,20
18-04-2019,21
19-04-2019,22
20-04-2019,20
21-04-2019,22
22-04-2019,21
23-04-2019,24
24-04-2019,22
25-04-2019,18
26-04-2019,19
27-04-2019,21
28-04-2019,21
29-04-2019,22
30-04-2019,24
01-05-2019,25
02-05-2019,23
03-05-2019,26
04-05-2019,28
05-05-2019,31
06-05-2019,41
07-05-2019,45
08-05-2019,34
09-05-2019,18
10-05-2019,16
11-05-2019,18
12-05-2019,14
13-05-2019,17
14-05-2019,18
15-05-2019,17
16-05-2019,19
17-05-2019,15
18-05-2019,16
19-05-2019,23
20-05-2019,12
21-05-2019,26
22-05-2019,30
23-05-2019,26
24-05-2019,25
25-05-2019,26
26-05-2019,33
27-05-2019,27
28-05-2019,28
29-05-2019,18
30-05-2019,16
31-05-2019,28
01-06-2019,27
02-06-2019,23
03-06-2019,24
04-06-2019,29
05-06-2019,29
06-06-2019,27
07-06-2019,32
08-06-2019,24
09-06-2019,22
10-06-2019,23
11-06-2019,23
12-06-2019,24
13-06-2019,24
14-06-2019,20
15-06-2019,21
16-06-2019,17
17-06-2019,22
18-06-2019,32
19-06-2019,26
20-06-2019,25
21-06-2019,23
22-06-2019,24
23-06-2019,20
24-06-2019,21
25-06-2019,19
26-06-2019,21
27-06-2019,24
28-06-2019,28
29-06-2019,28
30-06-2019,23
01-07-2019,24
02-07-2019,22
03-07-2019,22
04-07-2019,19
