Tiempo UTC-4,Registros validados
01-01-2018,12
02-01-2018,34
03-01-2018,32
04-01-2018,54
05-01-2018,21
06-01-2018,21
07-01-2018,32
08-01-2018,43
09-01-2018,12
10-01-2018,24
11-01-2018,17
12-01-2018,34
13-01-2018,52
14-01-2018,17
15-01-2018,34
16-01-2018,52
17-01-2018,12
18-01-2018,34
19-01-2018,32
20-01-2018,54
21-01-2018,21
22-01-2018,21
23-01-2018,32
24-01-2018,43
25-01-2018,12
26-01-2018,24
27-01-2018,17
28-01-2018,34
29-01-2018,52
30-01-2018,17
31-01-2018,34
01-02-2018,52
02-02-2018,12
03-02-2018,34
04-02-2018,32
05-02-2018,54
06-02-2018,21
07-02-2018,21
08-02-2018,32
09-02-2018,43
10-02-2018,12
11-02-2018,24
12-02-2018,17
13-02-2018,34
14-02-2018,52
15-02-2018,17
16-02-2018,34
17-02-2018,52
18-02-2018,12
19-02-2018,34
20-02-2018,32
21-02-2018,54
22-02-2018,21
23-02-2018,21
24-02-2018,32
25-02-2018,43
26-02-2018,12
27-02-2018,24
28-02-2018,17
01-03-2018,34
02-03-2018,52
03-03-2018,12
04-03-2018,34
05-03-2018,32
06-03-2018,54
07-03-2018,21
08-03-2018,21
09-03-2018,32
10-03-2018,43
11-03-2018,12
12-03-2018,24
13-03-2018,17
14-03-2018,34
15-03-2018,17
16-03-2018,12
17-03-2018,16
18-03-2018,28
19-03-2018,17
20-03-2018,21
21-03-2018,18
22-03-2018,28
23-03-2018,20
24-03-2018,21
25-03-2018,24
26-03-2018,20
27-03-2018,18
28-03-2018,12
29-03-2018,16
30-03-2018,25
31-03-2018,21
01-04-2018,17
02-04-2018,17
03-04-2018,24
04-04-2018,17
05-04-2018,10
06-04-2018,16
07-04-2018,32
08-04-2018,18
09-04-2018,15
10-04-2018,20
11-04-2018,16
12-04-2018,11
13-04-2018,11
14-04-2018,15
15-04-2018,16
16-04-2018,14
17-04-2018,35
18-04-2018,28
19-04-2018,23
20-04-2018,24
21-04-2018,18
22-04-2018,22
23-04-2018,18
24-04-2018,16
25-04-2018,6
26-04-2018,12
27-04-2018,11
28-04-2018,12
29-04-2018,12
30-04-2018,14
01-05-2018,18
02-05-2018,24
03-05-2018,21
04-05-2018,29
05-05-2018,22
06-05-2018,10
07-05-2018,32
08-05-2018,10
09-05-2018,8
10-05-2018,13
11-05-2018,14
12-05-2018,15
13-05-2018,12
14-05-2018,13
15-05-2018,24
16-05-2018,26
17-05-2018,24
18-05-2018,22
19-05-2018,17
20-05-2018,19
21-05-2018,24
22-05-2018,26
23-05-2018,25
24-05-2018,27
25-05-2018,21
26-05-2018,17
27-05-2018,16
28-05-2018,17
29-05-2018,14
30-05-2018,21
31-05-2018,9
01-06-2018,16
02-06-2018,18
03-06-2018,17
04-06-2018,14
05-06-2018,17
06-06-2018,18
07-06-2018,16
08-06-2018,16
09-06-2018,15
10-06-2018,20
11-06-2018,21
12-06-2018,22
13-06-2018,20
14-06-2018,22
15-06-2018,21
16-06-2018,24
17-06-2018,22
18-06-2018,18
19-06-2018,19
20-06-2018,21
21-06-2018,21
22-06-2018,22
23-06-2018,24
24-06-2018,25
25-06-2018,23
26-06-2018,26
27-06-2018,28
28-06-2018,31
29-06-2018,41
30-06-2018,45
01-07-2018,34
02-07-2018,18
03-07-2018,16
04-07-2018,18
05-07-2018,14
06-07-2018,17
07-07-2018,18
08-07-2018,17
09-07-2018,19
10-07-2018,15
11-07-2018,16
12-07-2018,23
13-07-2018,12
14-07-2018,26
15-07-2018,30
16-07-2018,26
17-07-2018,25
18-07-2018,26
19-07-2018,33
20-07-2018,27
21-07-2018,28
22-07-2018,18
23-07-2018,16
24-07-2018,28
25-07-2018,27
26-07-2018,23
27-07-2018,24
28-07-2018,29
29-07-2018,29
30-07-2018,27
31-07-2018,32
01-08-2018,24
02-08-2018,22
03-08-2018,23
04-08-2018,23
05-08-2018,24
06-08-2018,24
07-08-2018,20
08-08-2018,21
09-08-2018,17
10-08-2018,22
11-08-2018,32
12-08-2018,26
13-08-2018,25
14-08-2018,23
15-08-2018,24
16-08-2018,20
17-08-2018,21
18-08-2018,19
19-08-2018,21
20-08-2018,24
21-08-2018,28
22-08-2018,28
23-08-2018,23
24-08-2018,24
25-08-2018,22
26-08-2018,22
27-08-2018,19
28-08-2018,19
29-08-2018,23
30-08-2018,35
31-08-2018,37
01-09-2018,32
02-09-2018,21
03-09-2018,20
04-09-2018,27
05-09-2018,22
06-09-2018,22
07-09-2018,24
08-09-2018,23
09-09-2018,23
10-09-2018,20
11-09-2018,26
12-09-2018,30
13-09-2018,28
14-09-2018,34
15-09-2018,33
16-09-2018,36
17-09-2018,34
18-09-2018,35
19-09-2018,28
20-09-2018,27
21-09-2018,24
22-09-2018,18
23-09-2018,24
24-09-2018,13
25-09-2018,20
26-09-2018,26
27-09-2018,28
28-09-2018,21
29-09-2018,18
30-09-2018,21
01-10-2018,22
02-10-2018,28
03-10-2018,26
04-10-2018,19
05-10-2018,30
06-10-2018,30
07-10-2018,21
08-10-2018,21
09-10-2018,22
10-10-2018,27
11-10-2018,29
12-10-2018,37
13-10-2018,32
14-10-2018,22
15-10-2018,17
16-10-2018,18
17-10-2018,27
18-10-2018,23
19-10-2018,15
20-10-2018,21
21-10-2018,22
22-10-2018,20
23-10-2018,26
24-10-2018,33
25-10-2018,21
26-10-2018,24
27-10-2018,20
28-10-2018,15
29-10-2018,15
30-10-2018,19
31-10-2018,16
01-11-2018,20
02-11-2018,20
03-11-2018,21
04-11-2018,22
05-11-2018,19
06-11-2018,21
07-11-2018,21
08-11-2018,24
09-11-2018,29
10-11-2018,19
11-11-2018,18
12-11-2018,19
13-11-2018,26
14-11-2018,12
15-11-2018,18
16-11-2018,24
17-11-2018,25
18-11-2018,29
19-11-2018,25
20-11-2018,24
21-11-2018,19
22-11-2018,12
23-11-2018,4
24-11-2018,5
25-11-2018,9
26-11-2018,15
27-11-2018,22
28-11-2018,13
29-11-2018,12
30-11-2018,15
01-12-2018,18
02-12-2018,18
03-12-2018,15
04-12-2018,18
05-12-2018,18
06-12-2018,14
07-12-2018,12
08-12-2018,7
09-12-2018,4
10-12-2018,8
11-12-2018,9
12-12-2018,9
13-12-2018,28
14-12-2018,20
15-12-2018,17
16-12-2018,11
17-12-2018,10
18-12-2018,17
19-12-2018,8
20-12-2018,11
21-12-2018,17
22-12-2018,17
23-12-2018,5
24-12-2018,13
25-12-2018,15
26-12-2018,18
27-12-2018,13
28-12-2018,13
29-12-2018,18
30-12-2018,23
31-12-2018,18
01-01-2019,18
02-01-2019,13
03-01-2019,17
04-01-2019,12
05-01-2019,9
06-01-2019,12
07-01-2019,16
08-01-2019,26
09-01-2019,22
10-01-2019,19
11-01-2019,18
12-01-2019,12
13-01-2019,18
14-01-2019,15
15-01-2019,10
16-01-2019,13
17-01-2019,19
18-01-2019,22
19-01-2019,29
20-01-2019,19
21-01-2019,15
22-01-2019,14
23-01-2019,20
24-01-2019,22
25-01-2019,16
26-01-2019,24
27-01-2019,21
28-01-2019,24
29-01-2019,25
30-01-2019,24
31-01-2019,22
01-02-2019,25
02-02-2019,19
03-02-2019,18
04-02-2019,22
05-02-2019,13
06-02-2019,29
07-02-2019,20
08-02-2019,23
09-02-2019,22
10-02-2019,14
11-02-2019,18
12-02-2019,20
13-02-2019,13
14-02-2019,19
15-02-2019,16
16-02-2019,20
17-02-2019,22
18-02-2019,19
19-02-2019,15
20-02-2019,15
21-02-2019,20
22-02-2019,15
23-02-2019,14
24-02-2019,15
25-02-2019,19
26-02-2019,17
27-02-2019,15
28-02-2019,19
01-03-2019,19
02-03-2019,14
03-03-2019,18
04-03-2019,15
05-03-2019,20
06-03-2019,16
07-03-2019,11
08-03-2019,11
09-03-2019,15
10-03-2019,16
11-03-2019,14
12-03-2019,35
13-03-2019,28
14-03-2019,23
15-03-2019,24
16-03-2019,18
17-03-2019,22
18-03-2019,18
19-03-2019,16
20-03-2019,6
21-03-2019,12
22-03-2019,11
23-03-2019,12
24-03-2019,12
25-03-2019,14
26-03-2019,18
27-03-2019,24
28-03-2019,21
29-03-2019,29
30-03-2019,22
31-03-2019,10
01-04-2019,32
02-04-2019,10
03-04-2019,8
04-04-2019,13
05-04-2019,14
06-04-2019,15
07-04-2019,12
08-04-2019,13
09-04-2019,24
10-04-2019,26
11-04-2019,24
12-04-2019,22
13-04-2019,17
14-04-2019,19
15-04-2019,24
16-04-2019,26
17-04-2019,25
18-04-2019,27
19-04-2019,21
20-04-2019,17
21-04-2019,16
22-04-2019,17
23-04-2019,14
24-04-2019,21
25-04-2019,9
26-04-2019,16
27-04-2019,18
28-04-2019,17
29-04-2019,14
30-04-2019,17
01-05-2019,18
02-05-2019,16
03-05-2019,16
04-05-2019,15
05-05-2019,20
06-05-2019,21
07-05-2019,22
08-05-2019,20
09-05-2019,22
10-05-2019,21
11-05-2019,24
12-05-2019,22
13-05-2019,18
14-05-2019,19
15-05-2019,21
16-05-2019,21
17-05-2019,22
18-05-2019,24
19-05-2019,25
20-05-2019,23
21-05-2019,26
22-05-2019,28
23-05-2019,31
