Tiempo UTC-4,Registros validados
01-01-2018,45
02-01-2018,34
03-01-2018,54
04-01-2018,44
05-01-2018,36
06-01-2018,42
07-01-2018,15
08-01-2018,17
09-01-2018,27
10-01-2018,22
11-01-2018,17
12-01-2018,13
13-01-2018,15
14-01-2018,15
15-01-2018,20
16-01-2018,35
17-01-2018,39
18-01-2018,40
19-01-2018,26
20-01-2018,24
21-01-2018,23
22-01-2018,33
23-01-2018,32
24-01-2018,43
25-01-2018,40
26-01-2018,45
27-01-2018,51
28-01-2018,50
29-01-2018,37
30-01-2018,28
31-01-2018,36
01-02-2018,37
02-02-2018,34
03-02-2018,28
04-02-2018,27
05-02-2018,25
06-02-2018,37
07-02-2018,24
08-02-2018,32
09-02-2018,42
10-02-2018,51
11-02-2018,46
12-02-2018,54
13-02-2018,33
14-02-2018,36
15-02-2018,37
16-02-2018,38
17-02-2018,27
18-02-2018,23
19-02-2018,24
20-02-2018,31
21-02-2018,33
22-02-2018,33
23-02-2018,43
24-02-2018,27
25-02-2018,29
26-02-2018,40
27-02-2018,20
28-02-2018,30
01-03-2018,39
02-03-2018,40
03-03-2018,35
04-03-2018,34
05-03-2018,39
06-03-2018,33
07-03-2018,33
08-03-2018,26
09-03-2018,42
10-03-2018,40
11-03-2018,40
12-03-2018,51
13-03-2018,47
14-03-2018,46
15-03-2018,55
16-03-2018,43
17-03-2018,36
18-03-2018,26
19-03-2018,36
20-03-2018,44
21-03-2018,45
22-03-2018,39
23-03-2018,38
24-03-2018,36
25-03-2018,52
26-03-2018,60
27-03-2018,51
28-03-2018,41
29-03-2018,46
30-03-2018,42
31-03-2018,32
01-04-2018,37
02-04-2018,37
03-04-2018,34
04-04-2018,43
05-04-2018,45
06-04-2018,21
07-04-2018,29
08-04-2018,34
09-04-2018,21
10-04-2018,26
11-04-2018,18
12-04-2018,30
13-04-2018,38
14-04-2018,41
15-04-2018,31
16-04-2018,38
17-04-2018,46
18-04-2018,43
19-04-2018,39
20-04-2018,52
21-04-2018,54
22-04-2018,48
23-04-2018,48
24-04-2018,49
25-04-2018,52
26-04-2018,38
27-04-2018,53
28-04-2018,52
29-04-2018,33
30-04-2018,36
01-05-2018,43
02-05-2018,41
03-05-2018,42
04-05-2018,46
05-05-2018,38
