Tiempo UTC-4,Registros validados
01-01-2018,36
02-01-2018,39
03-01-2018,36
04-01-2018,32
05-01-2018,23
06-01-2018,13
07-01-2018,15
08-01-2018,9
09-01-2018,16
10-01-2018,16
11-01-2018,13
12-01-2018,21
13-01-2018,15
14-01-2018,16
15-01-2018,13
16-01-2018,13
17-01-2018,16
18-01-2018,13
19-01-2018,11
20-01-2018,16
21-01-2018,12
22-01-2018,21
23-01-2018,17
24-01-2018,10
25-01-2018,14
26-01-2018,17
27-01-2018,20
28-01-2018,18
29-01-2018,17
30-01-2018,18
31-01-2018,14
01-02-2018,13
02-02-2018,11
03-02-2018,31
04-02-2018,49
05-02-2018,45
06-02-2018,27
07-02-2018,23
08-02-2018,34
09-02-2018,38
10-02-2018,42
11-02-2018,22
12-02-2018,28
13-02-2018,38
14-02-2018,33
15-02-2018,22
16-02-2018,24
17-02-2018,37
18-02-2018,31
19-02-2018,30
20-02-2018,48
21-02-2018,38
22-02-2018,51
23-02-2018,46
24-02-2018,46
25-02-2018,75
26-02-2018,39
27-02-2018,35
28-02-2018,57
01-03-2018,50
02-03-2018,43
03-03-2018,48
04-03-2018,46
05-03-2018,22
06-03-2018,32
07-03-2018,31
08-03-2018,45
09-03-2018,32
10-03-2018,32
11-03-2018,41
12-03-2018,34
13-03-2018,48
14-03-2018,69
15-03-2018,19
16-03-2018,31
17-03-2018,52
18-03-2018,38
19-03-2018,31
20-03-2018,31
21-03-2018,31
22-03-2018,38
23-03-2018,61
24-03-2018,47
25-03-2018,57
26-03-2018,31
27-03-2018,53
28-03-2018,57
29-03-2018,59
30-03-2018,47
31-03-2018,53
01-04-2018,41
02-04-2018,43
03-04-2018,42
04-04-2018,30
05-04-2018,20
06-04-2018,35
07-04-2018,35
08-04-2018,37
09-04-2018,31
10-04-2018,24
11-04-2018,31
12-04-2018,45
13-04-2018,43
14-04-2018,49
15-04-2018,47
16-04-2018,43
17-04-2018,33
18-04-2018,44
19-04-2018,55
20-04-2018,11
21-04-2018,25
22-04-2018,29
23-04-2018,15
24-04-2018,18
25-04-2018,44
26-04-2018,68
27-04-2018,75
28-04-2018,67
29-04-2018,40
30-04-2018,34
01-05-2018,34
02-05-2018,45
03-05-2018,30
04-05-2018,18
05-05-2018,21
06-05-2018,31
07-05-2018,27
08-05-2018,28
09-05-2018,26
10-05-2018,44
11-05-2018,22
12-05-2018,32
13-05-2018,75
14-05-2018,43
15-05-2018,66
16-05-2018,35
17-05-2018,75
18-05-2018,35
19-05-2018,11
20-05-2018,19
21-05-2018,12
22-05-2018,15
23-05-2018,22
24-05-2018,26
25-05-2018,22
26-05-2018,33
27-05-2018,62
28-05-2018,35
29-05-2018,30
30-05-2018,23
31-05-2018,23
01-06-2018,16
02-06-2018,21
03-06-2018,31
04-06-2018,38
05-06-2018,31
06-06-2018,39
07-06-2018,40
08-06-2018,47
09-06-2018,25
10-06-2018,21
11-06-2018,27
12-06-2018,35
13-06-2018,49
14-06-2018,44
15-06-2018,34
16-06-2018,23
17-06-2018,34
18-06-2018,33
19-06-2018,27
20-06-2018,31
21-06-2018,17
22-06-2018,29
23-06-2018,8
24-06-2018,12
25-06-2018,18
26-06-2018,9
27-06-2018,9
28-06-2018,15
29-06-2018,30
30-06-2018,28
01-07-2018,27
02-07-2018,20
03-07-2018,34
04-07-2018,30
05-07-2018,36
06-07-2018,8
07-07-2018,18
08-07-2018,28
09-07-2018,12
10-07-2018,19
11-07-2018,29
12-07-2018,17
13-07-2018,44
14-07-2018,14
15-07-2018,26
16-07-2018,24
17-07-2018,12
18-07-2018,17
19-07-2018,36
20-07-2018,30
21-07-2018,58
22-07-2018,50
23-07-2018,53
24-07-2018,8
25-07-2018,10
26-07-2018,9
27-07-2018,16
28-07-2018,28
29-07-2018,49
30-07-2018,46
31-07-2018,24
01-08-2018,24
02-08-2018,18
03-08-2018,64
04-08-2018,39
05-08-2018,37
06-08-2018,32
07-08-2018,13
08-08-2018,7
09-08-2018,14
10-08-2018,18
11-08-2018,29
12-08-2018,56
13-08-2018,40
14-08-2018,43
15-08-2018,86
16-08-2018,35
17-08-2018,48
