Tiempo UTC-4,Registros validados
01-01-2018,20
02-01-2018,35
03-01-2018,32
04-01-2018,40
05-01-2018,45
06-01-2018,53
07-01-2018,60
08-01-2018,54
09-01-2018,43
10-01-2018,34
11-01-2018,44
12-01-2018,52
13-01-2018,37
14-01-2018,18
15-01-2018,24
16-01-2018,28
17-01-2018,27
18-01-2018,32
19-01-2018,47
20-01-2018,38
21-01-2018,37
22-01-2018,44
23-01-2018,50
24-01-2018,43
25-01-2018,49
26-01-2018,46
27-01-2018,47
28-01-2018,36
29-01-2018,15
30-01-2018,30
31-01-2018,27
01-02-2018,27
02-02-2018,29
03-02-2018,49
04-02-2018,48
05-02-2018,50
06-02-2018,46
07-02-2018,36
08-02-2018,52
09-02-2018,55
10-02-2018,40
11-02-2018,68
12-02-2018,60
13-02-2018,44
14-02-2018,36
15-02-2018,51
16-02-2018,39
17-02-2018,41
18-02-2018,45
19-02-2018,52
20-02-2018,62
21-02-2018,48
22-02-2018,61
23-02-2018,52
24-02-2018,32
25-02-2018,28
26-02-2018,31
27-02-2018,45
28-02-2018,39
01-03-2018,53
02-03-2018,51
03-03-2018,38
04-03-2018,35
05-03-2018,27
06-03-2018,30
07-03-2018,22
08-03-2018,24
09-03-2018,30
10-03-2018,14
11-03-2018,24
12-03-2018,24
13-03-2018,42
14-03-2018,38
15-03-2018,46
16-03-2018,52
17-03-2018,47
18-03-2018,22
19-03-2018,21
20-03-2018,25
21-03-2018,20
22-03-2018,35
23-03-2018,32
24-03-2018,40
25-03-2018,45
26-03-2018,53
27-03-2018,60
28-03-2018,54
29-03-2018,43
30-03-2018,34
31-03-2018,44
01-04-2018,52
02-04-2018,37
03-04-2018,18
04-04-2018,24
05-04-2018,28
06-04-2018,27
07-04-2018,32
08-04-2018,47
09-04-2018,38
10-04-2018,37
11-04-2018,44
12-04-2018,50
13-04-2018,43
14-04-2018,49
15-04-2018,46
16-04-2018,47
17-04-2018,36
18-04-2018,15
19-04-2018,30
20-04-2018,27
21-04-2018,27
22-04-2018,29
23-04-2018,49
24-04-2018,48
25-04-2018,50
26-04-2018,46
27-04-2018,36
28-04-2018,52
29-04-2018,55
