Tiempo UTC-4,Registros validados
01-01-2018,41
02-01-2018,42
03-01-2018,17
04-01-2018,20
05-01-2018,38
06-01-2018,28
07-01-2018,22
08-01-2018,20
09-01-2018,23
10-01-2018,15
11-01-2018,21
12-01-2018,38
13-01-2018,43
14-01-2018,51
15-01-2018,31
16-01-2018,25
17-01-2018,23
18-01-2018,33
19-01-2018,39
20-01-2018,53
21-01-2018,40
22-01-2018,52
23-01-2018,55
24-01-2018,58
25-01-2018,41
26-01-2018,34
27-01-2018,41
28-01-2018,42
29-01-2018,32
30-01-2018,29
31-01-2018,29
01-02-2018,30
02-02-2018,33
03-02-2018,32
04-02-2018,34
05-02-2018,47
06-02-2018,55
07-02-2018,63
08-02-2018,61
09-02-2018,38
10-02-2018,39
11-02-2018,43
12-02-2018,40
13-02-2018,31
14-02-2018,28
15-02-2018,29
16-02-2018,34
17-02-2018,38
18-02-2018,36
19-02-2018,44
20-02-2018,33
21-02-2018,34
22-02-2018,30
23-02-2018,26
24-02-2018,36
25-02-2018,43
26-02-2018,45
27-02-2018,47
28-02-2018,39
01-03-2018,55
02-03-2018,37
03-03-2018,34
04-03-2018,39
05-03-2018,46
06-03-2018,47
07-03-2018,51
08-03-2018,60
09-03-2018,61
10-03-2018,53
11-03-2018,52
12-03-2018,52
13-03-2018,41
14-03-2018,34
15-03-2018,42
16-03-2018,53
17-03-2018,68
18-03-2018,56
19-03-2018,52
20-03-2018,44
21-03-2018,56
22-03-2018,63
23-03-2018,32
24-03-2018,23
25-03-2018,24
26-03-2018,31
27-03-2018,44
28-03-2018,41
29-03-2018,59
30-03-2018,42
31-03-2018,59
01-04-2018,61
02-04-2018,44
03-04-2018,34
04-04-2018,3
05-04-2018,8
06-04-2018,34
07-04-2018,26
08-04-2018,41
09-04-2018,50
10-04-2018,61
11-04-2018,48
12-04-2018,47
13-04-2018,47
14-04-2018,61
15-04-2018,71
16-04-2018,82
17-04-2018,74
18-04-2018,47
19-04-2018,42
20-04-2018,34
21-04-2018,20
22-04-2018,46
23-04-2018,57
24-04-2018,49
25-04-2018,29
26-04-2018,25
27-04-2018,47
28-04-2018,48
29-04-2018,46
30-04-2018,25
01-05-2018,33
02-05-2018,43
03-05-2018,49
04-05-2018,41
05-05-2018,42
06-05-2018,17
07-05-2018,20
08-05-2018,38
09-05-2018,28
10-05-2018,23
11-05-2018,34
12-05-2018,21
13-05-2018,21
14-05-2018,48
15-05-2018,25
16-05-2018,33
17-05-2018,43
18-05-2018,49
19-05-2018,41
20-05-2018,42
21-05-2018,17
22-05-2018,20
23-05-2018,38
24-05-2018,28
25-05-2018,23
26-05-2018,45
27-05-2018,12
28-05-2018,25
29-05-2018,33
30-05-2018,43
31-05-2018,35
01-06-2018,30
02-06-2018,17
03-06-2018,35
04-06-2018,44
05-06-2018,30
06-06-2018,6
07-06-2018,2
08-06-2018,8
09-06-2018,17
10-06-2018,18
11-06-2018,17
12-06-2018,28
13-06-2018,28
14-06-2018,27
15-06-2018,24
16-06-2018,21
17-06-2018,43
18-06-2018,49
19-06-2018,21
20-06-2018,18
21-06-2018,20
22-06-2018,26
23-06-2018,23
24-06-2018,23
25-06-2018,26
26-06-2018,17
27-06-2018,11
28-06-2018,18
29-06-2018,11
30-06-2018,10
01-07-2018,5
02-07-2018,8
03-07-2018,17
04-07-2018,22
05-07-2018,33
06-07-2018,26
07-07-2018,26
08-07-2018,29
09-07-2018,24
10-07-2018,19
11-07-2018,29
12-07-2018,26
13-07-2018,57
14-07-2018,11
15-07-2018,17
16-07-2018,16
17-07-2018,20
18-07-2018,35
19-07-2018,32
20-07-2018,43
21-07-2018,32
22-07-2018,27
23-07-2018,14
24-07-2018,12
25-07-2018,21
26-07-2018,28
27-07-2018,30
28-07-2018,24
29-07-2018,27
30-07-2018,24
31-07-2018,26
01-08-2018,33
02-08-2018,27
03-08-2018,19
04-08-2018,26
05-08-2018,36
06-08-2018,36
07-08-2018,35
08-08-2018,41
09-08-2018,26
10-08-2018,38
11-08-2018,35
12-08-2018,39
13-08-2018,37
14-08-2018,38
15-08-2018,31
16-08-2018,45
17-08-2018,40
18-08-2018,35
19-08-2018,31
20-08-2018,23
21-08-2018,42
22-08-2018,37
23-08-2018,42
24-08-2018,35
25-08-2018,31
26-08-2018,32
27-08-2018,23
28-08-2018,45
29-08-2018,65
30-08-2018,48
31-08-2018,23
01-09-2018,20
02-09-2018,45
03-09-2018,55
04-09-2018,48
05-09-2018,41
06-09-2018,45
07-09-2018,54
08-09-2018,45
09-09-2018,31
10-09-2018,20
11-09-2018,14
12-09-2018,30
13-09-2018,33
14-09-2018,26
15-09-2018,25
16-09-2018,31
17-09-2018,44
18-09-2018,37
19-09-2018,33
20-09-2018,42
21-09-2018,57
22-09-2018,51
23-09-2018,41
24-09-2018,40
25-09-2018,24
26-09-2018,25
27-09-2018,32
28-09-2018,43
29-09-2018,52
30-09-2018,57
01-10-2018,54
02-10-2018,50
03-10-2018,40
04-10-2018,28
05-10-2018,38
06-10-2018,35
07-10-2018,27
08-10-2018,33
09-10-2018,30
10-10-2018,33
11-10-2018,39
12-10-2018,35
13-10-2018,27
14-10-2018,31
15-10-2018,41
16-10-2018,41
17-10-2018,55
18-10-2018,49
19-10-2018,44
20-10-2018,48
21-10-2018,43
22-10-2018,51
23-10-2018,56
24-10-2018,37
25-10-2018,38
26-10-2018,25
27-10-2018,29
28-10-2018,33
29-10-2018,31
30-10-2018,34
31-10-2018,37
01-11-2018,42
02-11-2018,55
03-11-2018,56
04-11-2018,57
05-11-2018,60
06-11-2018,21
07-11-2018,24
08-11-2018,17
09-11-2018,22
10-11-2018,42
11-11-2018,53
12-11-2018,45
13-11-2018,27
14-11-2018,34
15-11-2018,76
16-11-2018,49
17-11-2018,37
18-11-2018,36
19-11-2018,36
20-11-2018,45
21-11-2018,50
22-11-2018,50
23-11-2018,36
24-11-2018,36
25-11-2018,45
26-11-2018,50
27-11-2018,50
28-11-2018,24
29-11-2018,20
30-11-2018,16
01-12-2018,22
02-12-2018,33
03-12-2018,34
04-12-2018,35
05-12-2018,47
06-12-2018,48
07-12-2018,44
08-12-2018,51
09-12-2018,38
10-12-2018,43
11-12-2018,56
12-12-2018,54
13-12-2018,44
14-12-2018,33
15-12-2018,49
16-12-2018,44
17-12-2018,42
18-12-2018,33
19-12-2018,39
20-12-2018,46
21-12-2018,40
22-12-2018,31
23-12-2018,32
24-12-2018,47
25-12-2018,43
26-12-2018,46
27-12-2018,49
28-12-2018,53
29-12-2018,54
30-12-2018,57
31-12-2018,44
01-01-2019,31
02-01-2019,18
03-01-2019,21
04-01-2019,23
05-01-2019,27
06-01-2019,34
07-01-2019,29
08-01-2019,24
09-01-2019,23
10-01-2019,30
11-01-2019,49
12-01-2019,40
13-01-2019,43
14-01-2019,51
15-01-2019,75
16-01-2019,74
17-01-2019,20
18-01-2019,29
19-01-2019,24
20-01-2019,23
21-01-2019,30
22-01-2019,49
23-01-2019,40
24-01-2019,43
25-01-2019,51
26-01-2019,75
27-01-2019,74
28-01-2019,20
29-01-2019,29
30-01-2019,24
31-01-2019,23
01-02-2019,30
02-02-2019,49
03-02-2019,40
04-02-2019,43
05-02-2019,51
06-02-2019,75
07-02-2019,74
08-02-2019,20
09-02-2019,39
10-02-2019,40
11-02-2019,40
12-02-2019,50
13-02-2019,23
14-02-2019,10
15-02-2019,32
16-02-2019,26
17-02-2019,24
18-02-2019,31
19-02-2019,39
20-02-2019,40
21-02-2019,40
22-02-2019,50
23-02-2019,48
24-02-2019,50
25-02-2019,52
26-02-2019,41
27-02-2019,30
28-02-2019,39
01-03-2019,42
02-03-2019,50
03-03-2019,51
04-03-2019,43
05-03-2019,29
06-03-2019,22
07-03-2019,37
08-03-2019,49
09-03-2019,46
10-03-2019,36
11-03-2019,41
12-03-2019,79
13-03-2019,46
14-03-2019,52
15-03-2019,61
16-03-2019,70
17-03-2019,68
18-03-2019,58
19-03-2019,53
20-03-2019,46
21-03-2019,78
22-03-2019,43
23-03-2019,38
24-03-2019,35
25-03-2019,37
26-03-2019,37
27-03-2019,10
28-03-2019,26
29-03-2019,29
30-03-2019,19
31-03-2019,32
01-04-2019,39
02-04-2019,37
03-04-2019,36
04-04-2019,42
05-04-2019,43
06-04-2019,42
07-04-2019,42
08-04-2019,39
09-04-2019,46
10-04-2019,41
11-04-2019,47
12-04-2019,63
13-04-2019,47
14-04-2019,44
15-04-2019,38
16-04-2019,34
17-04-2019,27
18-04-2019,27
19-04-2019,29
20-04-2019,21
21-04-2019,25
22-04-2019,30
23-04-2019,34
24-04-2019,25
25-04-2019,39
26-04-2019,46
27-04-2019,43
28-04-2019,50
29-04-2019,45
30-04-2019,38
01-05-2019,41
02-05-2019,40
03-05-2019,41
04-05-2019,35
05-05-2019,21
06-05-2019,33
07-05-2019,38
08-05-2019,30
09-05-2019,37
10-05-2019,40
11-05-2019,32
12-05-2019,31
13-05-2019,36
14-05-2019,30
15-05-2019,36
16-05-2019,14
