Tiempo UTC-4,Registros validados
01-01-2018,46
02-01-2018,72
03-01-2018,13
04-01-2018,87
05-01-2018,24
06-01-2018,65
07-01-2018,42
08-01-2018,29
09-01-2018,18
10-01-2018,37
11-01-2018,11
12-01-2018,34
13-01-2018,54
14-01-2018,44
15-01-2018,36
16-01-2018,42
17-01-2018,15
18-01-2018,17
19-01-2018,27
20-01-2018,22
21-01-2018,17
22-01-2018,13
23-01-2018,15
24-01-2018,15
25-01-2018,20
26-01-2018,35
27-01-2018,39
28-01-2018,40
29-01-2018,26
30-01-2018,24
31-01-2018,23
01-02-2018,33
02-02-2018,32
03-02-2018,43
04-02-2018,40
05-02-2018,45
06-02-2018,51
07-02-2018,50
08-02-2018,37
09-02-2018,28
10-02-2018,36
11-02-2018,37
12-02-2018,34
13-02-2018,28
14-02-2018,27
15-02-2018,25
16-02-2018,37
17-02-2018,24
18-02-2018,32
19-02-2018,42
20-02-2018,51
21-02-2018,46
22-02-2018,54
23-02-2018,33
24-02-2018,36
25-02-2018,37
26-02-2018,38
27-02-2018,27
28-02-2018,23
01-03-2018,24
02-03-2018,31
03-03-2018,33
04-03-2018,33
05-03-2018,43
06-03-2018,27
07-03-2018,29
08-03-2018,40
09-03-2018,20
10-03-2018,30
11-03-2018,39
12-03-2018,40
13-03-2018,35
14-03-2018,34
15-03-2018,39
16-03-2018,33
17-03-2018,33
18-03-2018,26
19-03-2018,42
20-03-2018,40
21-03-2018,40
22-03-2018,51
23-03-2018,47
24-03-2018,46
25-03-2018,55
26-03-2018,43
27-03-2018,36
28-03-2018,26
29-03-2018,36
30-03-2018,44
31-03-2018,45
01-04-2018,39
02-04-2018,38
03-04-2018,36
04-04-2018,52
05-04-2018,60
06-04-2018,51
07-04-2018,41
08-04-2018,46
09-04-2018,42
10-04-2018,32
11-04-2018,37
12-04-2018,37
13-04-2018,34
14-04-2018,43
15-04-2018,45
16-04-2018,21
17-04-2018,29
18-04-2018,34
19-04-2018,21
20-04-2018,26
21-04-2018,18
22-04-2018,30
23-04-2018,38
24-04-2018,41
25-04-2018,31
26-04-2018,38
27-04-2018,46
28-04-2018,43
29-04-2018,39
30-04-2018,52
01-05-2018,54
02-05-2018,48
03-05-2018,48
04-05-2018,49
05-05-2018,52
06-05-2018,38
07-05-2018,53
08-05-2018,52
09-05-2018,33
10-05-2018,36
11-05-2018,43
12-05-2018,41
13-05-2018,42
14-05-2018,46
15-05-2018,38
16-05-2018,21
17-05-2018,15
18-05-2018,25
19-05-2018,22
20-05-2018,25
21-05-2018,61
22-05-2018,55
23-05-2018,25
24-05-2018,37
25-05-2018,49
26-05-2018,48
27-05-2018,41
28-05-2018,42
29-05-2018,62
30-05-2018,48
31-05-2018,34
01-06-2018,48
02-06-2018,53
03-06-2018,57
04-06-2018,53
05-06-2018,57
06-06-2018,49
07-06-2018,45
08-06-2018,42
09-06-2018,33
10-06-2018,29
11-06-2018,31
12-06-2018,46
13-06-2018,49
14-06-2018,58
15-06-2018,47
16-06-2018,50
17-06-2018,43
18-06-2018,58
19-06-2018,40
20-06-2018,22
21-06-2018,34
22-06-2018,27
23-06-2018,37
24-06-2018,38
25-06-2018,48
26-06-2018,48
27-06-2018,48
28-06-2018,44
29-06-2018,43
30-06-2018,41
01-07-2018,50
02-07-2018,38
03-07-2018,25
04-07-2018,28
05-07-2018,29
06-07-2018,39
07-07-2018,41
08-07-2018,22
09-07-2018,40
10-07-2018,22
11-07-2018,13
12-07-2018,16
13-07-2018,9
14-07-2018,8
15-07-2018,5
16-07-2018,10
17-07-2018,27
18-07-2018,30
19-07-2018,39
20-07-2018,33
21-07-2018,35
22-07-2018,37
23-07-2018,40
24-07-2018,28
25-07-2018,26
26-07-2018,30
27-07-2018,20
28-07-2018,16
29-07-2018,17
30-07-2018,24
31-07-2018,27
01-08-2018,32
02-08-2018,33
03-08-2018,42
04-08-2018,35
05-08-2018,36
06-08-2018,11
07-08-2018,24
08-08-2018,26
09-08-2018,30
10-08-2018,44
11-08-2018,38
12-08-2018,34
13-08-2018,31
14-08-2018,40
15-08-2018,41
16-08-2018,29
17-08-2018,17
18-08-2018,36
19-08-2018,40
20-08-2018,38
21-08-2018,37
22-08-2018,30
23-08-2018,18
24-08-2018,37
25-08-2018,36
26-08-2018,34
27-08-2018,34
28-08-2018,30
29-08-2018,29
30-08-2018,40
31-08-2018,46
01-09-2018,42
02-09-2018,31
03-09-2018,21
04-09-2018,42
05-09-2018,39
06-09-2018,39
07-09-2018,35
08-09-2018,38
09-09-2018,28
10-09-2018,14
11-09-2018,22
12-09-2018,27
13-09-2018,40
14-09-2018,38
15-09-2018,26
16-09-2018,32
17-09-2018,37
18-09-2018,39
19-09-2018,31
20-09-2018,40
21-09-2018,39
22-09-2018,33
23-09-2018,27
24-09-2018,15
25-09-2018,23
26-09-2018,25
27-09-2018,30
28-09-2018,16
29-09-2018,18
30-09-2018,31
01-10-2018,34
02-10-2018,29
03-10-2018,21
04-10-2018,45
05-10-2018,36
06-10-2018,36
07-10-2018,27
08-10-2018,32
09-10-2018,16
10-10-2018,18
11-10-2018,31
12-10-2018,36
13-10-2018,43
14-10-2018,44
15-10-2018,43
16-10-2018,45
17-10-2018,65
18-10-2018,25
19-10-2018,32
20-10-2018,34
21-10-2018,23
22-10-2018,21
23-10-2018,23
24-10-2018,20
25-10-2018,28
26-10-2018,30
27-10-2018,18
28-10-2018,23
29-10-2018,30
30-10-2018,28
31-10-2018,33
01-11-2018,35
02-11-2018,30
03-11-2018,33
04-11-2018,35
05-11-2018,32
06-11-2018,34
07-11-2018,26
08-11-2018,28
09-11-2018,33
10-11-2018,35
11-11-2018,30
12-11-2018,33
13-11-2018,35
14-11-2018,32
15-11-2018,34
16-11-2018,26
17-11-2018,23
18-11-2018,13
19-11-2018,32
20-11-2018,20
21-11-2018,20
22-11-2018,13
23-11-2018,19
24-11-2018,40
25-11-2018,20
26-11-2018,30
27-11-2018,39
28-11-2018,40
29-11-2018,35
30-11-2018,34
01-12-2018,39
02-12-2018,33
03-12-2018,33
04-12-2018,26
05-12-2018,42
06-12-2018,40
07-12-2018,40
08-12-2018,51
09-12-2018,47
10-12-2018,46
11-12-2018,55
12-12-2018,43
13-12-2018,36
14-12-2018,26
15-12-2018,36
16-12-2018,44
17-12-2018,45
18-12-2018,39
19-12-2018,38
20-12-2018,36
21-12-2018,52
22-12-2018,60
23-12-2018,51
24-12-2018,41
25-12-2018,46
26-12-2018,42
27-12-2018,32
28-12-2018,37
29-12-2018,37
30-12-2018,34
31-12-2018,43
01-01-2019,45
02-01-2019,21
03-01-2019,29
04-01-2019,34
05-01-2019,21
06-01-2019,26
07-01-2019,18
08-01-2019,30
09-01-2019,38
10-01-2019,41
11-01-2019,31
12-01-2019,38
13-01-2019,46
14-01-2019,43
15-01-2019,39
16-01-2019,52
17-01-2019,54
18-01-2019,48
19-01-2019,48
20-01-2019,49
21-01-2019,52
22-01-2019,38
23-01-2019,53
24-01-2019,52
25-01-2019,33
26-01-2019,36
27-01-2019,43
28-01-2019,41
29-01-2019,42
30-01-2019,46
31-01-2019,38
01-02-2019,21
02-02-2019,15
03-02-2019,25
04-02-2019,22
05-02-2019,25
06-02-2019,61
07-02-2019,55
08-02-2019,25
09-02-2019,37
10-02-2019,49
11-02-2019,48
12-02-2019,41
13-02-2019,42
14-02-2019,62
15-02-2019,48
16-02-2019,34
17-02-2019,48
18-02-2019,53
19-02-2019,57
20-02-2019,53
21-02-2019,57
22-02-2019,49
23-02-2019,45
24-02-2019,42
25-02-2019,33
26-02-2019,29
27-02-2019,31
28-02-2019,46
01-03-2019,49
02-03-2019,58
03-03-2019,47
04-03-2019,50
05-03-2019,43
06-03-2019,58
07-03-2019,40
08-03-2019,22
09-03-2019,34
10-03-2019,27
11-03-2019,37
12-03-2019,38
13-03-2019,48
14-03-2019,48
15-03-2019,48
16-03-2019,44
17-03-2019,43
18-03-2019,41
19-03-2019,50
20-03-2019,38
21-03-2019,25
22-03-2019,28
23-03-2019,29
24-03-2019,39
25-03-2019,41
26-03-2019,22
27-03-2019,40
28-03-2019,22
29-03-2019,13
30-03-2019,16
31-03-2019,9
01-04-2019,8
