Tiempo UTC-4,Registros validados
01-01-2018,24
02-01-2018,31
03-01-2018,39
04-01-2018,40
05-01-2018,40
06-01-2018,50
07-01-2018,48
08-01-2018,50
09-01-2018,52
10-01-2018,41
11-01-2018,30
12-01-2018,39
13-01-2018,42
14-01-2018,50
15-01-2018,51
16-01-2018,43
17-01-2018,29
18-01-2018,22
19-01-2018,37
20-01-2018,49
21-01-2018,46
22-01-2018,36
23-01-2018,41
24-01-2018,79
25-01-2018,46
26-01-2018,52
27-01-2018,61
28-01-2018,70
29-01-2018,68
30-01-2018,58
31-01-2018,53
01-02-2018,46
02-02-2018,78
03-02-2018,43
04-02-2018,38
05-02-2018,35
06-02-2018,37
07-02-2018,37
08-02-2018,10
09-02-2018,26
10-02-2018,29
11-02-2018,19
12-02-2018,32
13-02-2018,39
14-02-2018,37
15-02-2018,36
16-02-2018,42
17-02-2018,43
18-02-2018,42
19-02-2018,42
20-02-2018,39
21-02-2018,46
22-02-2018,41
23-02-2018,47
24-02-2018,63
25-02-2018,47
26-02-2018,44
27-02-2018,38
28-02-2018,34
01-03-2018,27
02-03-2018,27
03-03-2018,29
04-03-2018,21
05-03-2018,25
06-03-2018,30
07-03-2018,34
08-03-2018,25
09-03-2018,39
10-03-2018,46
11-03-2018,43
12-03-2018,50
13-03-2018,45
14-03-2018,38
15-03-2018,41
16-03-2018,40
17-03-2018,41
18-03-2018,35
19-03-2018,21
20-03-2018,33
21-03-2018,38
22-03-2018,30
23-03-2018,37
24-03-2018,40
25-03-2018,32
26-03-2018,31
27-03-2018,36
28-03-2018,30
29-03-2018,36
30-03-2018,14
31-03-2018,20
01-04-2018,30
02-04-2018,36
03-04-2018,41
04-04-2018,32
05-04-2018,26
06-04-2018,26
07-04-2018,32
08-04-2018,19
09-04-2018,10
10-04-2018,10
11-04-2018,16
12-04-2018,25
13-04-2018,25
14-04-2018,25
15-04-2018,30
16-04-2018,22
17-04-2018,23
18-04-2018,32
19-04-2018,37
20-04-2018,35
21-04-2018,23
22-04-2018,17
23-04-2018,21
24-04-2018,12
25-04-2018,11
26-04-2018,13
27-04-2018,14
28-04-2018,15
29-04-2018,24
30-04-2018,23
01-05-2018,13
02-05-2018,24
03-05-2018,21
04-05-2018,24
05-05-2018,19
06-05-2018,27
07-05-2018,28
08-05-2018,16
09-05-2018,16
10-05-2018,13
11-05-2018,18
12-05-2018,27
13-05-2018,25
14-05-2018,26
15-05-2018,26
16-05-2018,38
17-05-2018,28
18-05-2018,25
19-05-2018,27
20-05-2018,25
21-05-2018,32
22-05-2018,26
23-05-2018,29
24-05-2018,32
25-05-2018,35
26-05-2018,35
27-05-2018,33
28-05-2018,35
29-05-2018,33
30-05-2018,40
31-05-2018,25
01-06-2018,22
02-06-2018,26
03-06-2018,23
04-06-2018,27
05-06-2018,34
06-06-2018,33
07-06-2018,29
08-06-2018,25
09-06-2018,38
10-06-2018,34
11-06-2018,29
12-06-2018,43
13-06-2018,40
14-06-2018,37
15-06-2018,47
16-06-2018,44
17-06-2018,44
18-06-2018,28
19-06-2018,37
20-06-2018,38
21-06-2018,38
22-06-2018,35
23-06-2018,37
24-06-2018,52
25-06-2018,46
26-06-2018,39
27-06-2018,46
28-06-2018,40
29-06-2018,31
30-06-2018,32
01-07-2018,47
02-07-2018,43
03-07-2018,46
04-07-2018,49
05-07-2018,53
06-07-2018,54
07-07-2018,57
08-07-2018,44
09-07-2018,31
10-07-2018,18
11-07-2018,21
12-07-2018,23
13-07-2018,27
14-07-2018,34
15-07-2018,29
16-07-2018,24
17-07-2018,23
18-07-2018,30
19-07-2018,49
20-07-2018,40
21-07-2018,43
22-07-2018,51
23-07-2018,75
24-07-2018,74
25-07-2018,20
26-07-2018,27
27-07-2018,29
28-07-2018,21
29-07-2018,25
30-07-2018,30
31-07-2018,34
01-08-2018,25
02-08-2018,39
03-08-2018,46
04-08-2018,43
05-08-2018,50
06-08-2018,45
07-08-2018,38
08-08-2018,41
09-08-2018,40
10-08-2018,41
11-08-2018,35
12-08-2018,21
13-08-2018,33
14-08-2018,38
15-08-2018,30
16-08-2018,37
17-08-2018,40
18-08-2018,32
19-08-2018,31
20-08-2018,36
21-08-2018,30
22-08-2018,36
23-08-2018,14
24-08-2018,20
25-08-2018,30
26-08-2018,36
27-08-2018,41
28-08-2018,32
29-08-2018,26
30-08-2018,26
31-08-2018,32
01-09-2018,19
02-09-2018,10
03-09-2018,10
04-09-2018,16
05-09-2018,25
06-09-2018,25
07-09-2018,25
08-09-2018,30
09-09-2018,22
10-09-2018,23
11-09-2018,32
12-09-2018,37
13-09-2018,35
14-09-2018,23
15-09-2018,17
16-09-2018,21
17-09-2018,12
18-09-2018,11
19-09-2018,13
20-09-2018,14
21-09-2018,15
22-09-2018,24
23-09-2018,23
24-09-2018,13
25-09-2018,24
26-09-2018,21
27-09-2018,24
28-09-2018,19
29-09-2018,27
30-09-2018,28
01-10-2018,16
02-10-2018,16
03-10-2018,13
04-10-2018,18
05-10-2018,27
06-10-2018,25
07-10-2018,26
08-10-2018,26
09-10-2018,38
10-10-2018,28
11-10-2018,25
12-10-2018,27
13-10-2018,25
14-10-2018,32
15-10-2018,26
16-10-2018,29
17-10-2018,32
18-10-2018,35
19-10-2018,35
20-10-2018,33
21-10-2018,35
22-10-2018,27
23-10-2018,29
24-10-2018,21
25-10-2018,25
26-10-2018,30
27-10-2018,34
28-10-2018,25
29-10-2018,39
30-10-2018,46
31-10-2018,43
01-11-2018,50
02-11-2018,45
03-11-2018,38
04-11-2018,41
05-11-2018,40
06-11-2018,41
07-11-2018,35
08-11-2018,21
09-11-2018,33
10-11-2018,38
11-11-2018,30
12-11-2018,37
13-11-2018,40
14-11-2018,32
15-11-2018,31
16-11-2018,36
17-11-2018,30
18-11-2018,36
19-11-2018,14
20-11-2018,20
21-11-2018,30
22-11-2018,36
23-11-2018,41
24-11-2018,32
25-11-2018,26
26-11-2018,26
27-11-2018,32
28-11-2018,19
29-11-2018,10
30-11-2018,10
01-12-2018,16
02-12-2018,25
03-12-2018,25
04-12-2018,25
05-12-2018,30
06-12-2018,22
07-12-2018,23
08-12-2018,32
09-12-2018,37
10-12-2018,35
11-12-2018,23
12-12-2018,17
13-12-2018,21
14-12-2018,12
15-12-2018,11
16-12-2018,13
17-12-2018,14
18-12-2018,15
19-12-2018,24
20-12-2018,23
21-12-2018,13
22-12-2018,24
23-12-2018,21
24-12-2018,24
25-12-2018,19
26-12-2018,27
27-12-2018,28
28-12-2018,16
29-12-2018,16
30-12-2018,13
31-12-2018,18
01-01-2019,27
02-01-2019,25
03-01-2019,26
04-01-2019,26
05-01-2019,38
06-01-2019,28
07-01-2019,25
08-01-2019,27
09-01-2019,25
10-01-2019,32
11-01-2019,26
12-01-2019,29
13-01-2019,32
14-01-2019,35
15-01-2019,35
16-01-2019,33
17-01-2019,35
18-01-2019,27
19-01-2019,29
20-01-2019,21
21-01-2019,25
22-01-2019,30
23-01-2019,34
24-01-2019,25
25-01-2019,39
26-01-2019,46
27-01-2019,43
28-01-2019,50
29-01-2019,45
30-01-2019,38
31-01-2019,41
01-02-2019,40
02-02-2019,41
03-02-2019,35
04-02-2019,21
05-02-2019,33
06-02-2019,38
07-02-2019,30
08-02-2019,37
09-02-2019,40
10-02-2019,32
11-02-2019,31
12-02-2019,36
13-02-2019,30
14-02-2019,36
15-02-2019,14
16-02-2019,20
17-02-2019,30
18-02-2019,36
19-02-2019,41
20-02-2019,32
21-02-2019,26
22-02-2019,26
23-02-2019,32
24-02-2019,19
25-02-2019,10
26-02-2019,10
27-02-2019,16
28-02-2019,25
01-03-2019,25
02-03-2019,25
03-03-2019,30
04-03-2019,22
05-03-2019,23
06-03-2019,32
07-03-2019,37
08-03-2019,35
09-03-2019,23
10-03-2019,17
11-03-2019,21
12-03-2019,12
13-03-2019,11
14-03-2019,13
15-03-2019,14
16-03-2019,15
17-03-2019,24
18-03-2019,23
19-03-2019,13
20-03-2019,24
21-03-2019,21
22-03-2019,24
23-03-2019,19
24-03-2019,27
25-03-2019,28
26-03-2019,16
27-03-2019,16
28-03-2019,13
29-03-2019,18
30-03-2019,27
31-03-2019,25
01-04-2019,26
02-04-2019,26
03-04-2019,38
04-04-2019,28
05-04-2019,25
06-04-2019,27
07-04-2019,25
08-04-2019,32
09-04-2019,26
10-04-2019,29
11-04-2019,32
12-04-2019,35
13-04-2019,35
14-04-2019,33
15-04-2019,35
16-04-2019,27
17-04-2019,29
18-04-2019,21
19-04-2019,25
20-04-2019,30
21-04-2019,34
22-04-2019,25
23-04-2019,39
24-04-2019,46
25-04-2019,43
26-04-2019,50
27-04-2019,45
28-04-2019,38
29-04-2019,41
30-04-2019,40
01-05-2019,41
02-05-2019,35
03-05-2019,21
04-05-2019,33
05-05-2019,38
06-05-2019,30
07-05-2019,37
08-05-2019,40
09-05-2019,32
10-05-2019,31
11-05-2019,36
12-05-2019,30
13-05-2019,36
14-05-2019,14
15-05-2019,20
16-05-2019,30
17-05-2019,36
18-05-2019,41
19-05-2019,32
20-05-2019,26
21-05-2019,26
22-05-2019,32
23-05-2019,19
24-05-2019,10
25-05-2019,10
26-05-2019,16
27-05-2019,25
28-05-2019,25
29-05-2019,25
30-05-2019,30
31-05-2019,22
01-06-2019,23
02-06-2019,32
03-06-2019,37
04-06-2019,35
05-06-2019,23
06-06-2019,17
07-06-2019,21
08-06-2019,12
09-06-2019,11
10-06-2019,13
11-06-2019,14
12-06-2019,15
13-06-2019,24
14-06-2019,23
15-06-2019,13
16-06-2019,24
17-06-2019,21
18-06-2019,24
19-06-2019,19
20-06-2019,27
21-06-2019,28
22-06-2019,16
23-06-2019,16
24-06-2019,13
25-06-2019,18
26-06-2019,27
27-06-2019,25
28-06-2019,26
29-06-2019,26
30-06-2019,38
01-07-2019,28
02-07-2019,25
03-07-2019,27
04-07-2019,25
05-07-2019,32
06-07-2019,26
07-07-2019,29
08-07-2019,32
09-07-2019,35
10-07-2019,35
11-07-2019,33
12-07-2019,35
13-07-2019,23
14-07-2019,21
15-07-2019,24
16-07-2019,31
17-07-2019,39
18-07-2019,40
19-07-2019,40
20-07-2019,50
21-07-2019,48
22-07-2019,50
23-07-2019,52
24-07-2019,41
25-07-2019,30
26-07-2019,39
27-07-2019,42
28-07-2019,50
29-07-2019,51
30-07-2019,43
31-07-2019,29
01-08-2019,22
02-08-2019,37
03-08-2019,49
04-08-2019,46
05-08-2019,36
06-08-2019,41
07-08-2019,79
08-08-2019,46
09-08-2019,52
10-08-2019,61
11-08-2019,70
12-08-2019,68
13-08-2019,58
14-08-2019,53
15-08-2019,46
16-08-2019,78
17-08-2019,43
18-08-2019,38
19-08-2019,35
20-08-2019,37
21-08-2019,37
22-08-2019,10
23-08-2019,26
24-08-2019,29
25-08-2019,19
26-08-2019,32
27-08-2019,39
28-08-2019,37
29-08-2019,36
30-08-2019,42
31-08-2019,43
01-09-2019,42
02-09-2019,42
03-09-2019,39
04-09-2019,46
05-09-2019,41
06-09-2019,47
07-09-2019,63
08-09-2019,47
09-09-2019,44
10-09-2019,38
11-09-2019,34
12-09-2019,27
13-09-2019,27
14-09-2019,29
15-09-2019,21
16-09-2019,25
17-09-2019,30
18-09-2019,34
19-09-2019,25
20-09-2019,39
21-09-2019,46
22-09-2019,43
23-09-2019,50
24-09-2019,45
25-09-2019,38
26-09-2019,41
27-09-2019,40
28-09-2019,41
29-09-2019,35
30-09-2019,21
01-10-2019,33
02-10-2019,38
03-10-2019,30
04-10-2019,37
05-10-2019,40
06-10-2019,32
07-10-2019,31
08-10-2019,36
09-10-2019,30
10-10-2019,36
11-10-2019,14
12-10-2019,20
13-10-2019,30
14-10-2019,36
15-10-2019,41
16-10-2019,32
17-10-2019,26
18-10-2019,26
19-10-2019,32
20-10-2019,19
21-10-2019,10
22-10-2019,10
23-10-2019,16
24-10-2019,25
25-10-2019,25
26-10-2019,25
27-10-2019,30
28-10-2019,22
29-10-2019,23
30-10-2019,32
31-10-2019,37
01-11-2019,35
02-11-2019,23
03-11-2019,17
04-11-2019,21
05-11-2019,12
06-11-2019,11
07-11-2019,13
08-11-2019,14
09-11-2019,15
10-11-2019,24
11-11-2019,23
12-11-2019,13
13-11-2019,24
14-11-2019,21
15-11-2019,24
16-11-2019,19
17-11-2019,27
18-11-2019,28
19-11-2019,16
20-11-2019,16
21-11-2019,13
22-11-2019,18
23-11-2019,27
24-11-2019,25
25-11-2019,26
26-11-2019,26
27-11-2019,38
28-11-2019,28
29-11-2019,25
30-11-2019,27
01-12-2019,25
02-12-2019,32
03-12-2019,26
04-12-2019,29
05-12-2019,32
06-12-2019,35
07-12-2019,35
08-12-2019,33
09-12-2019,35
10-12-2019,33
11-12-2019,40
12-12-2019,25
13-12-2019,22
14-12-2019,26
15-12-2019,23
16-12-2019,27
17-12-2019,34
18-12-2019,33
19-12-2019,29
20-12-2019,25
21-12-2019,38
22-12-2019,34
23-12-2019,29
24-12-2019,43
25-12-2019,40
26-12-2019,37
27-12-2019,47
28-12-2019,44
29-12-2019,44
30-12-2019,28
31-12-2019,37
01-01-2020,38
02-01-2020,38
03-01-2020,35
04-01-2020,37
05-01-2020,52
06-01-2020,46
07-01-2020,39
08-01-2020,46
09-01-2020,40
10-01-2020,31
11-01-2020,32
12-01-2020,47
13-01-2020,43
14-01-2020,46
15-01-2020,49
16-01-2020,53
17-01-2020,54
18-01-2020,57
19-01-2020,44
20-01-2020,31
21-01-2020,18
22-01-2020,21
23-01-2020,23
24-01-2020,27
25-01-2020,34
26-01-2020,29
27-01-2020,24
28-01-2020,23
29-01-2020,30
30-01-2020,49
31-01-2020,40
01-02-2020,43
02-02-2020,51
03-02-2020,75
04-02-2020,74
05-02-2020,20
06-02-2020,27
07-02-2020,29
08-02-2020,21
09-02-2020,25
10-02-2020,30
11-02-2020,34
12-02-2020,25
13-02-2020,39
14-02-2020,46
15-02-2020,43
16-02-2020,50
17-02-2020,45
18-02-2020,38
19-02-2020,41
20-02-2020,40
21-02-2020,41
22-02-2020,35
23-02-2020,21
24-02-2020,33
25-02-2020,38
26-02-2020,30
27-02-2020,37
28-02-2020,40
29-02-2020,32
01-03-2020,31
02-03-2020,36
03-03-2020,30
04-03-2020,36
05-03-2020,14
06-03-2020,20
07-03-2020,30
08-03-2020,36
09-03-2020,41
10-03-2020,32
11-03-2020,26
12-03-2020,26
13-03-2020,32
14-03-2020,19
15-03-2020,10
16-03-2020,10
17-03-2020,16
18-03-2020,25
19-03-2020,25
20-03-2020,25
21-03-2020,30
22-03-2020,22
23-03-2020,23
24-03-2020,32
25-03-2020,37
26-03-2020,35
27-03-2020,23
28-03-2020,17
29-03-2020,21
30-03-2020,12
31-03-2020,11
01-04-2020,13
02-04-2020,14
03-04-2020,15
04-04-2020,24
05-04-2020,23
06-04-2020,13
07-04-2020,24
08-04-2020,21
09-04-2020,24
10-04-2020,19
11-04-2020,27
12-04-2020,28
13-04-2020,16
14-04-2020,16
15-04-2020,13
16-04-2020,18
17-04-2020,27
18-04-2020,25
19-04-2020,26
20-04-2020,26
21-04-2020,38
22-04-2020,28
23-04-2020,25
24-04-2020,27
25-04-2020,25
26-04-2020,32
27-04-2020,26
28-04-2020,29
29-04-2020,32
30-04-2020,35
01-05-2020,35
02-05-2020,33
03-05-2020,35
04-05-2020,27
05-05-2020,29
06-05-2020,21
07-05-2020,25
08-05-2020,30
09-05-2020,34
10-05-2020,25
11-05-2020,39
12-05-2020,46
13-05-2020,43
14-05-2020,50
15-05-2020,45
16-05-2020,38
17-05-2020,41
18-05-2020,40
19-05-2020,41
20-05-2020,35
21-05-2020,21
22-05-2020,33
23-05-2020,38
24-05-2020,30
25-05-2020,37
26-05-2020,40
27-05-2020,32
28-05-2020,31
29-05-2020,36
30-05-2020,30
31-05-2020,36
01-06-2020,14
02-06-2020,20
03-06-2020,30
04-06-2020,36
05-06-2020,41
06-06-2020,32
07-06-2020,26
08-06-2020,26
09-06-2020,32
10-06-2020,19
11-06-2020,10
12-06-2020,10
13-06-2020,16
14-06-2020,25
15-06-2020,25
16-06-2020,25
17-06-2020,30
18-06-2020,22
19-06-2020,23
20-06-2020,32
21-06-2020,37
22-06-2020,35
23-06-2020,23
24-06-2020,17
25-06-2020,21
26-06-2020,12
27-06-2020,11
28-06-2020,13
29-06-2020,14
30-06-2020,15
01-07-2020,24
02-07-2020,23
03-07-2020,13
04-07-2020,24
05-07-2020,21
06-07-2020,24
07-07-2020,19
08-07-2020,27
09-07-2020,28
10-07-2020,16
11-07-2020,16
12-07-2020,13
13-07-2020,18
14-07-2020,27
15-07-2020,25
16-07-2020,26
17-07-2020,26
18-07-2020,38
19-07-2020,28
20-07-2020,25
21-07-2020,27
22-07-2020,25
23-07-2020,32
24-07-2020,26
25-07-2020,29
26-07-2020,32
27-07-2020,35
28-07-2020,35
29-07-2020,33
30-07-2020,35
31-07-2020,27
01-08-2020,29
02-08-2020,21
03-08-2020,25
04-08-2020,30
05-08-2020,34
06-08-2020,25
07-08-2020,39
08-08-2020,46
09-08-2020,43
10-08-2020,50
11-08-2020,45
12-08-2020,38
13-08-2020,41
14-08-2020,40
15-08-2020,41
16-08-2020,35
17-08-2020,21
18-08-2020,33
19-08-2020,38
20-08-2020,30
21-08-2020,37
22-08-2020,40
23-08-2020,32
24-08-2020,31
25-08-2020,36
26-08-2020,30
27-08-2020,36
28-08-2020,14
29-08-2020,20
30-08-2020,30
31-08-2020,36
01-09-2020,41
02-09-2020,32
03-09-2020,26
04-09-2020,26
05-09-2020,32
06-09-2020,19
07-09-2020,10
08-09-2020,10
09-09-2020,16
10-09-2020,25
11-09-2020,25
12-09-2020,25
13-09-2020,30
14-09-2020,22
15-09-2020,23
16-09-2020,32
17-09-2020,37
18-09-2020,35
19-09-2020,23
20-09-2020,17
21-09-2020,21
22-09-2020,12
23-09-2020,11
24-09-2020,13
25-09-2020,14
26-09-2020,15
27-09-2020,24
28-09-2020,23
29-09-2020,13
30-09-2020,24
01-10-2020,21
02-10-2020,24
03-10-2020,19
04-10-2020,27
05-10-2020,28
06-10-2020,16
07-10-2020,16
08-10-2020,13
09-10-2020,18
10-10-2020,27
11-10-2020,25
12-10-2020,26
13-10-2020,26
14-10-2020,38
15-10-2020,28
16-10-2020,25
17-10-2020,27
18-10-2020,25
19-10-2020,32
20-10-2020,26
21-10-2020,29
22-10-2020,32
23-10-2020,35
24-10-2020,35
25-10-2020,33
26-10-2020,35
27-10-2020,27
28-10-2020,29
29-10-2020,21
30-10-2020,25
31-10-2020,30
01-11-2020,34
02-11-2020,25
03-11-2020,39
04-11-2020,46
05-11-2020,43
06-11-2020,50
07-11-2020,45
08-11-2020,38
09-11-2020,41
10-11-2020,40
11-11-2020,41
12-11-2020,35
13-11-2020,21
14-11-2020,33
15-11-2020,38
16-11-2020,30
17-11-2020,37
18-11-2020,40
19-11-2020,32
20-11-2020,31
21-11-2020,36
22-11-2020,30
23-11-2020,36
24-11-2020,14
25-11-2020,20
26-11-2020,30
27-11-2020,36
28-11-2020,41
29-11-2020,32
30-11-2020,26
01-12-2020,26
02-12-2020,32
03-12-2020,19
04-12-2020,10
05-12-2020,10
06-12-2020,16
07-12-2020,25
08-12-2020,25
09-12-2020,25
10-12-2020,30
11-12-2020,22
12-12-2020,23
13-12-2020,32
14-12-2020,37
15-12-2020,35
16-12-2020,23
17-12-2020,17
18-12-2020,21
19-12-2020,12
20-12-2020,11
21-12-2020,13
22-12-2020,14
23-12-2020,15
24-12-2020,24
25-12-2020,23
26-12-2020,13
27-12-2020,24
28-12-2020,21
29-12-2020,24
30-12-2020,19
31-12-2020,27
01-01-2021,28
02-01-2021,16
03-01-2021,16
04-01-2021,13
05-01-2021,18
06-01-2021,27
07-01-2021,25
08-01-2021,26
09-01-2021,26
10-01-2021,38
11-01-2021,28
12-01-2021,25
13-01-2021,27
14-01-2021,25
15-01-2021,32
16-01-2021,26
17-01-2021,29
18-01-2021,32
19-01-2021,35
20-01-2021,35
21-01-2021,33
22-01-2021,35
23-01-2021,23
24-01-2021,21
25-01-2021,24
26-01-2021,31
