Tiempo UTC-4,Registros validados
01-01-2018,24
02-01-2018,26
03-01-2018,33
04-01-2018,30
05-01-2018,36
06-01-2018,35
07-01-2018,38
08-01-2018,23
09-01-2018,26
10-01-2018,32
11-01-2018,31
12-01-2018,26
13-01-2018,23
14-01-2018,25
15-01-2018,18
16-01-2018,26
17-01-2018,32
18-01-2018,37
19-01-2018,42
20-01-2018,32
21-01-2018,25
22-01-2018,26
23-01-2018,30
24-01-2018,33
25-01-2018,34
26-01-2018,31
27-01-2018,37
28-01-2018,41
29-01-2018,43
30-01-2018,41
31-01-2018,49
01-02-2018,61
02-02-2018,24
03-02-2018,45
04-02-2018,32
05-02-2018,31
06-02-2018,29
07-02-2018,27
08-02-2018,32
09-02-2018,37
10-02-2018,36
11-02-2018,38
12-02-2018,45
13-02-2018,49
14-02-2018,35
15-02-2018,40
16-02-2018,38
17-02-2018,39
18-02-2018,29
19-02-2018,23
20-02-2018,23
21-02-2018,28
22-02-2018,35
23-02-2018,26
24-02-2018,24
25-02-2018,23
26-02-2018,27
27-02-2018,25
28-02-2018,24
01-03-2018,28
02-03-2018,31
03-03-2018,32
04-03-2018,33
05-03-2018,38
06-03-2018,45
07-03-2018,34
08-03-2018,30
09-03-2018,29
10-03-2018,27
11-03-2018,35
12-03-2018,44
13-03-2018,41
14-03-2018,37
15-03-2018,27
16-03-2018,35
17-03-2018,28
18-03-2018,20
19-03-2018,28
20-03-2018,31
21-03-2018,40
22-03-2018,31
23-03-2018,25
24-03-2018,25
25-03-2018,30
26-03-2018,44
27-03-2018,47
28-03-2018,59
29-03-2018,50
30-03-2018,46
31-03-2018,45
01-04-2018,38
02-04-2018,36
03-04-2018,37
04-04-2018,36
05-04-2018,34
06-04-2018,36
07-04-2018,29
08-04-2018,27
09-04-2018,30
10-04-2018,30
11-04-2018,26
12-04-2018,29
13-04-2018,33
14-04-2018,41
15-04-2018,45
16-04-2018,23
17-04-2018,45
18-04-2018,64
19-04-2018,42
20-04-2018,44
21-04-2018,38
22-04-2018,38
23-04-2018,45
24-04-2018,44
25-04-2018,39
26-04-2018,41
27-04-2018,20
28-04-2018,42
29-04-2018,43
30-04-2018,33
01-05-2018,38
02-05-2018,29
03-05-2018,30
04-05-2018,34
05-05-2018,30
06-05-2018,23
07-05-2018,10
08-05-2018,19
09-05-2018,18
10-05-2018,31
11-05-2018,38
12-05-2018,38
13-05-2018,38
14-05-2018,36
15-05-2018,48
16-05-2018,34
17-05-2018,40
18-05-2018,29
19-05-2018,35
20-05-2018,34
21-05-2018,32
22-05-2018,32
23-05-2018,31
24-05-2018,36
25-05-2018,43
26-05-2018,41
27-05-2018,33
28-05-2018,45
29-05-2018,26
30-05-2018,11
31-05-2018,12
01-06-2018,14
02-06-2018,21
03-06-2018,18
04-06-2018,31
05-06-2018,27
06-06-2018,21
07-06-2018,29
08-06-2018,28
09-06-2018,24
10-06-2018,5
11-06-2018,23
12-06-2018,3
13-06-2018,3
14-06-2018,3
15-06-2018,5
16-06-2018,7
17-06-2018,8
18-06-2018,8
19-06-2018,8
20-06-2018,8
21-06-2018,7
22-06-2018,9
23-06-2018,6
24-06-2018,5
25-06-2018,6
26-06-2018,7
27-06-2018,6
28-06-2018,7
29-06-2018,5
30-06-2018,5
01-07-2018,5
02-07-2018,5
03-07-2018,5
04-07-2018,4
05-07-2018,4
06-07-2018,4
07-07-2018,5
08-07-2018,7
09-07-2018,8
10-07-2018,7
11-07-2018,6
12-07-2018,10
13-07-2018,8
14-07-2018,6
15-07-2018,5
16-07-2018,7
17-07-2018,5
18-07-2018,5
19-07-2018,4
20-07-2018,8
21-07-2018,8
22-07-2018,4
23-07-2018,4
24-07-2018,5
25-07-2018,4
26-07-2018,6
27-07-2018,12
28-07-2018,9
29-07-2018,18
30-07-2018,18
31-07-2018,25
01-08-2018,19
02-08-2018,12
03-08-2018,9
04-08-2018,32
05-08-2018,16
06-08-2018,20
07-08-2018,9
08-08-2018,19
09-08-2018,25
10-08-2018,17
11-08-2018,17
12-08-2018,12
13-08-2018,16
14-08-2018,28
15-08-2018,17
16-08-2018,21
17-08-2018,18
18-08-2018,28
19-08-2018,20
20-08-2018,21
21-08-2018,24
22-08-2018,20
23-08-2018,18
24-08-2018,12
25-08-2018,16
26-08-2018,25
27-08-2018,21
28-08-2018,17
29-08-2018,17
30-08-2018,24
31-08-2018,17
01-09-2018,10
02-09-2018,16
03-09-2018,32
04-09-2018,35
05-09-2018,22
06-09-2018,19
07-09-2018,25
08-09-2018,19
09-09-2018,18
10-09-2018,18
11-09-2018,27
12-09-2018,31
13-09-2018,27
14-09-2018,19
15-09-2018,11
16-09-2018,11
17-09-2018,14
18-09-2018,6
19-09-2018,6
20-09-2018,7
21-09-2018,14
22-09-2018,10
23-09-2018,10
24-09-2018,13
25-09-2018,14
26-09-2018,20
27-09-2018,21
28-09-2018,16
29-09-2018,8
30-09-2018,11
01-10-2018,17
02-10-2018,18
03-10-2018,17
04-10-2018,20
05-10-2018,20
06-10-2018,13
07-10-2018,13
08-10-2018,6
09-10-2018,13
10-10-2018,12
11-10-2018,17
12-10-2018,17
13-10-2018,18
14-10-2018,15
15-10-2018,20
16-10-2018,16
17-10-2018,11
18-10-2018,11
19-10-2018,15
20-10-2018,16
21-10-2018,14
22-10-2018,35
23-10-2018,28
24-10-2018,23
25-10-2018,24
26-10-2018,18
27-10-2018,22
28-10-2018,18
29-10-2018,16
30-10-2018,6
31-10-2018,12
01-11-2018,11
02-11-2018,12
03-11-2018,12
04-11-2018,14
05-11-2018,18
06-11-2018,24
07-11-2018,21
08-11-2018,29
09-11-2018,22
10-11-2018,10
11-11-2018,32
12-11-2018,10
13-11-2018,8
14-11-2018,13
15-11-2018,14
16-11-2018,15
17-11-2018,12
18-11-2018,13
19-11-2018,24
20-11-2018,26
21-11-2018,24
22-11-2018,22
23-11-2018,17
24-11-2018,19
25-11-2018,24
26-11-2018,26
27-11-2018,25
28-11-2018,27
29-11-2018,21
30-11-2018,17
01-12-2018,16
02-12-2018,17
03-12-2018,14
04-12-2018,21
05-12-2018,9
06-12-2018,16
07-12-2018,18
08-12-2018,17
09-12-2018,14
10-12-2018,17
11-12-2018,18
12-12-2018,16
13-12-2018,16
14-12-2018,15
15-12-2018,20
16-12-2018,21
17-12-2018,22
18-12-2018,20
19-12-2018,22
20-12-2018,21
21-12-2018,24
22-12-2018,22
23-12-2018,18
24-12-2018,19
25-12-2018,21
26-12-2018,21
27-12-2018,22
28-12-2018,24
29-12-2018,25
30-12-2018,23
31-12-2018,26
01-01-2019,28
02-01-2019,31
03-01-2019,41
04-01-2019,45
05-01-2019,34
06-01-2019,18
07-01-2019,16
08-01-2019,18
09-01-2019,14
10-01-2019,17
11-01-2019,18
12-01-2019,17
13-01-2019,19
14-01-2019,15
15-01-2019,16
16-01-2019,23
17-01-2019,12
18-01-2019,26
19-01-2019,30
20-01-2019,26
21-01-2019,25
22-01-2019,26
23-01-2019,33
24-01-2019,27
25-01-2019,28
26-01-2019,18
27-01-2019,16
28-01-2019,28
29-01-2019,27
30-01-2019,23
31-01-2019,24
01-02-2019,29
02-02-2019,29
03-02-2019,27
04-02-2019,32
05-02-2019,24
06-02-2019,22
07-02-2019,23
08-02-2019,23
09-02-2019,24
10-02-2019,24
11-02-2019,20
12-02-2019,21
13-02-2019,17
14-02-2019,22
15-02-2019,32
16-02-2019,26
17-02-2019,25
18-02-2019,23
19-02-2019,24
20-02-2019,20
21-02-2019,21
22-02-2019,19
23-02-2019,21
24-02-2019,24
25-02-2019,28
26-02-2019,28
27-02-2019,23
28-02-2019,24
01-03-2019,22
02-03-2019,22
03-03-2019,19
04-03-2019,19
05-03-2019,23
06-03-2019,35
07-03-2019,37
08-03-2019,32
09-03-2019,21
10-03-2019,20
11-03-2019,27
12-03-2019,22
13-03-2019,22
14-03-2019,24
15-03-2019,23
16-03-2019,23
17-03-2019,20
18-03-2019,26
19-03-2019,30
20-03-2019,28
21-03-2019,34
22-03-2019,33
23-03-2019,36
24-03-2019,34
25-03-2019,35
26-03-2019,28
27-03-2019,27
28-03-2019,24
29-03-2019,18
30-03-2019,24
31-03-2019,13
01-04-2019,20
02-04-2019,26
03-04-2019,28
04-04-2019,21
05-04-2019,18
06-04-2019,21
07-04-2019,22
08-04-2019,28
09-04-2019,26
10-04-2019,19
11-04-2019,30
12-04-2019,30
13-04-2019,21
14-04-2019,21
15-04-2019,22
16-04-2019,27
17-04-2019,29
18-04-2019,37
19-04-2019,32
20-04-2019,22
21-04-2019,17
22-04-2019,18
23-04-2019,27
24-04-2019,23
25-04-2019,15
26-04-2019,21
27-04-2019,22
28-04-2019,20
29-04-2019,26
30-04-2019,33
01-05-2019,21
02-05-2019,24
03-05-2019,20
04-05-2019,15
05-05-2019,15
06-05-2019,19
07-05-2019,16
08-05-2019,20
09-05-2019,20
10-05-2019,21
11-05-2019,22
12-05-2019,19
13-05-2019,21
14-05-2019,21
15-05-2019,24
16-05-2019,29
17-05-2019,19
18-05-2019,18
19-05-2019,19
20-05-2019,26
21-05-2019,12
22-05-2019,18
23-05-2019,24
24-05-2019,25
25-05-2019,29
26-05-2019,25
27-05-2019,24
28-05-2019,19
29-05-2019,12
30-05-2019,4
31-05-2019,5
01-06-2019,9
02-06-2019,15
03-06-2019,22
04-06-2019,13
05-06-2019,12
06-06-2019,15
07-06-2019,18
08-06-2019,18
09-06-2019,15
10-06-2019,18
11-06-2019,18
12-06-2019,14
13-06-2019,12
14-06-2019,7
15-06-2019,4
16-06-2019,8
17-06-2019,9
18-06-2019,9
19-06-2019,28
20-06-2019,20
21-06-2019,17
22-06-2019,11
23-06-2019,10
24-06-2019,17
25-06-2019,8
26-06-2019,11
27-06-2019,17
28-06-2019,17
29-06-2019,5
30-06-2019,13
01-07-2019,15
02-07-2019,18
03-07-2019,13
04-07-2019,13
05-07-2019,18
06-07-2019,23
07-07-2019,18
08-07-2019,18
09-07-2019,13
10-07-2019,17
11-07-2019,12
12-07-2019,9
13-07-2019,12
14-07-2019,16
15-07-2019,26
16-07-2019,22
17-07-2019,19
18-07-2019,18
19-07-2019,12
20-07-2019,18
21-07-2019,15
22-07-2019,10
23-07-2019,13
24-07-2019,19
25-07-2019,22
26-07-2019,29
27-07-2019,19
28-07-2019,15
29-07-2019,14
30-07-2019,20
31-07-2019,22
01-08-2019,16
02-08-2019,24
03-08-2019,21
04-08-2019,24
05-08-2019,25
06-08-2019,24
07-08-2019,22
08-08-2019,25
09-08-2019,19
10-08-2019,18
11-08-2019,22
12-08-2019,13
13-08-2019,29
14-08-2019,20
15-08-2019,23
16-08-2019,22
17-08-2019,14
18-08-2019,18
19-08-2019,20
20-08-2019,13
21-08-2019,19
22-08-2019,16
23-08-2019,20
24-08-2019,22
25-08-2019,19
26-08-2019,15
27-08-2019,15
28-08-2019,20
29-08-2019,15
30-08-2019,14
31-08-2019,15
01-09-2019,19
02-09-2019,17
03-09-2019,15
04-09-2019,19
05-09-2019,19
06-09-2019,14
07-09-2019,16
08-09-2019,14
09-09-2019,4
10-09-2019,6
11-09-2019,4
12-09-2019,15
13-09-2019,15
14-09-2019,13
15-09-2019,13
16-09-2019,12
17-09-2019,15
18-09-2019,19
19-09-2019,20
20-09-2019,15
21-09-2019,13
22-09-2019,18
23-09-2019,18
24-09-2019,20
25-09-2019,25
26-09-2019,25
27-09-2019,18
28-09-2019,17
29-09-2019,19
30-09-2019,8
01-10-2019,8
02-10-2019,10
03-10-2019,12
04-10-2019,19
05-10-2019,22
06-10-2019,23
